s_from_te,ds_wake_l05,ds_wake_l10,ds_wake_l20
0.000000,6.626036e-03,6.617954e-03,6.613143e-03
14.500000,4.479321e-03,4.475771e-03,4.475172e-03
0.009994,6.583553e-03,6.596651e-03,6.602479e-03
0.019988,6.541911e-03,6.575561e-03,6.591867e-03
0.029982,6.501093e-03,6.554680e-03,6.581309e-03
0.039976,6.461083e-03,6.534006e-03,6.570803e-03
0.049970,6.421864e-03,6.513539e-03,6.560350e-03
0.059964,6.383422e-03,6.493275e-03,6.549948e-03
0.069959,6.345740e-03,6.473212e-03,6.539599e-03
0.079953,6.308804e-03,6.453349e-03,6.529301e-03
0.089947,6.272599e-03,6.433683e-03,6.519055e-03
0.099941,6.237111e-03,6.414213e-03,6.508859e-03
0.111299,6.197630e-03,6.392320e-03,6.497334e-03
0.125918,6.148117e-03,6.364506e-03,6.482595e-03
0.144734,6.086483e-03,6.329299e-03,6.463784e-03
0.168953,6.010492e-03,6.284949e-03,6.439830e-03
0.198469,5.922721e-03,6.232330e-03,6.411026e-03
0.228451,5.838712e-03,6.180446e-03,6.382200e-03
0.258433,5.759593e-03,6.130094e-03,6.353802e-03
0.288415,5.685078e-03,6.081230e-03,6.325826e-03
0.318398,5.614901e-03,6.033809e-03,6.298267e-03
0.348380,5.548808e-03,5.987789e-03,6.271118e-03
0.378362,5.486561e-03,5.943128e-03,6.244373e-03
0.408344,5.427938e-03,5.899787e-03,6.218026e-03
0.438327,5.372726e-03,5.857725e-03,6.192071e-03
0.468309,5.320728e-03,5.816906e-03,6.166502e-03
0.498291,5.271757e-03,5.777292e-03,6.141314e-03
0.528273,5.225635e-03,5.738849e-03,6.116500e-03
0.558256,5.182198e-03,5.701541e-03,6.092056e-03
0.588238,5.141289e-03,5.665335e-03,6.067975e-03
0.618220,5.102762e-03,5.630199e-03,6.044252e-03
0.648202,5.066476e-03,5.596100e-03,6.020883e-03
0.678185,5.032302e-03,5.563009e-03,5.997861e-03
0.708167,5.000118e-03,5.530895e-03,5.975182e-03
0.738149,4.969806e-03,5.499729e-03,5.952840e-03
0.768131,4.941259e-03,5.469484e-03,5.930831e-03
0.798114,4.914373e-03,5.440133e-03,5.909149e-03
0.828096,4.889052e-03,5.411648e-03,5.887790e-03
0.858078,4.865205e-03,5.384005e-03,5.866749e-03
0.888060,4.842746e-03,5.357178e-03,5.846020e-03
0.918043,4.821594e-03,5.331144e-03,5.825600e-03
0.948025,4.801673e-03,5.305878e-03,5.805484e-03
0.978007,4.782911e-03,5.281359e-03,5.785668e-03
1.007989,4.765242e-03,5.257564e-03,5.766146e-03
1.037972,4.748600e-03,5.234472e-03,5.746914e-03
1.067954,4.732928e-03,5.212062e-03,5.727969e-03
1.097936,4.718167e-03,5.190314e-03,5.709306e-03
1.127918,4.704266e-03,5.169208e-03,5.690920e-03
1.157901,4.691174e-03,5.148726e-03,5.672808e-03
1.187883,4.678843e-03,5.128849e-03,5.654965e-03
1.217865,4.667231e-03,5.109559e-03,5.637388e-03
1.247847,4.656294e-03,5.090838e-03,5.620073e-03
1.277829,4.645994e-03,5.072671e-03,5.603015e-03
1.307812,4.636293e-03,5.055040e-03,5.586210e-03
1.337794,4.627157e-03,5.037930e-03,5.569656e-03
1.367776,4.618553e-03,5.021325e-03,5.553349e-03
1.397758,4.610449e-03,5.005211e-03,5.537283e-03
1.427741,4.602817e-03,4.989573e-03,5.521457e-03
1.457723,4.595629e-03,4.974397e-03,5.505867e-03
1.487705,4.588860e-03,4.959669e-03,5.490508e-03
