x,jump_legacy,jump_pin
1.1437,-0.00123,-1.07e-03
0.8484,0.07556,8.13e-02
16.5548,23.43254,-0.00e+00
0.8525,0.07565,8.14e-02
0.8565,0.07550,8.13e-02
0.8606,0.07571,8.15e-02
0.8646,0.07533,8.11e-02
0.8687,0.07547,8.13e-02
0.8727,0.07551,8.13e-02
0.8767,0.07509,8.09e-02
0.8808,0.07489,8.07e-02
0.8848,0.07462,8.04e-02
0.8889,0.07457,8.03e-02
0.8929,0.07445,8.02e-02
0.8970,0.07420,7.99e-02
0.9010,0.07421,7.99e-02
0.9050,0.07375,7.95e-02
0.9091,0.07378,7.95e-02
0.9131,0.07336,7.90e-02
0.9172,0.07302,7.87e-02
0.9212,0.07274,7.84e-02
0.9253,0.07221,7.78e-02
0.9293,0.07195,7.76e-02
0.9333,0.07179,7.74e-02
0.9374,0.07132,7.69e-02
0.9414,0.07102,7.66e-02
0.9455,0.07058,7.61e-02
0.9495,0.07006,7.55e-02
0.9536,0.06986,7.53e-02
0.9576,0.06961,7.51e-02
0.9617,0.06894,7.44e-02
0.9657,0.06830,7.37e-02
0.9697,0.06792,7.33e-02
0.9738,0.06741,7.27e-02
0.9778,0.06685,7.21e-02
0.9819,0.06641,7.16e-02
0.9859,0.06604,7.13e-02
0.9900,0.06542,7.06e-02
0.9940,0.06492,7.01e-02
0.9980,0.06447,6.96e-02
1.0021,0.06396,6.90e-02
1.0061,0.06357,6.86e-02
1.0102,0.06281,6.78e-02
1.0142,0.06259,6.76e-02
1.0183,0.06198,6.69e-02
1.0223,0.06141,6.63e-02
1.0263,0.06103,6.59e-02
1.0304,0.06039,6.52e-02
1.0344,0.05951,6.43e-02
1.0385,0.05867,6.34e-02
1.0425,0.05792,6.26e-02
1.0466,0.05703,6.16e-02
1.0506,0.05625,6.07e-02
1.0547,0.05543,5.99e-02
1.0587,0.05441,5.88e-02
1.0627,0.05347,5.77e-02
1.0668,0.05261,5.68e-02
1.0708,0.05166,5.58e-02
1.0749,0.05056,5.46e-02
1.0789,0.04928,5.32e-02
1.0830,0.04809,5.19e-02
1.0870,0.04681,5.05e-02
1.0910,0.04574,4.94e-02
1.0951,0.04465,4.82e-02
1.0991,0.04295,4.64e-02
1.1032,0.04150,4.48e-02
1.1072,0.03977,4.29e-02
1.1113,0.03834,4.14e-02
1.1153,0.03655,3.94e-02
1.1193,0.03414,3.68e-02
1.1234,0.03186,3.44e-02
1.1274,0.02930,3.16e-02
1.1315,0.02564,2.76e-02
1.1350,0.02227,2.40e-02
1.1376,0.01923,2.07e-02
1.1397,0.01587,1.71e-02
1.1417,0.00938,1.01e-02
15.7643,-53.39486,-0.00e+00
15.4641,24.79729,0.00e+00
16.0829,-14.92380,0.00e+00
5.3787,0.09683,1.04e-01
4.0889,0.09608,1.04e-01
11.4261,23.06580,-0.00e+00
2.8502,0.09511,1.02e-01
3.2892,0.09511,1.02e-01
2.6900,0.09434,1.02e-01
12.5104,23.96628,0.00e+00
3.0246,0.09500,1.02e-01
6.5681,0.09616,1.04e-01
4.9841,0.09559,1.03e-01
0.8582,0.07635,8.22e-02
0.8672,0.07666,8.25e-02
0.9019,0.07734,8.33e-02
0.9546,0.07793,8.39e-02
0.9179,0.07770,8.37e-02
0.9712,0.07803,8.40e-02
1.0074,0.07822,8.42e-02
1.0658,0.07865,8.47e-02
1.0548,0.07868,8.47e-02
1.1089,0.07894,8.50e-02
1.1243,0.07903,8.51e-02
1.1660,0.07933,8.54e-02
1.1830,0.07939,8.55e-02
1.2238,0.07967,8.58e-02
1.2821,0.08000,8.61e-02
1.2639,0.08015,8.63e-02
1.3224,0.08041,8.66e-02
1.3405,0.08031,8.65e-02
1.3810,0.08064,8.68e-02
1.4395,0.08095,8.72e-02
1.4980,0.08124,8.75e-02
1.5566,0.08159,8.79e-02
1.5385,0.08175,8.80e-02
1.5970,0.08195,8.83e-02
1.6555,0.08223,8.86e-02
1.7141,0.08248,8.88e-02
1.7546,0.08308,8.95e-02
1.8119,0.08341,8.98e-02
1.8652,0.08388,9.03e-02
1.7938,0.08405,9.05e-02
1.9458,0.08490,9.14e-02
1.6367,0.08268,8.90e-02
1.4214,0.08114,8.74e-02
0.9891,0.07854,8.46e-02
1.8492,0.08434,9.08e-02
1.2060,0.07993,8.61e-02
1.4799,0.08143,8.77e-02
1.5789,0.08260,8.90e-02
1.3623,0.08115,8.74e-02
1.6961,0.08288,8.93e-02
1.9005,0.08462,9.11e-02
0.8841,0.07708,8.30e-02
0.8734,0.07687,8.28e-02
2.4458,0.07940,8.56e-02
2.4120,0.08734,9.41e-02
1.3332,0.06847,7.38e-02
2.0423,0.07259,7.83e-02
1.1636,0.07395,7.97e-02
1.5172,0.04805,5.19e-02
1.7202,0.06620,7.14e-02
2.2768,0.08448,9.10e-02
2.2231,0.08256,8.90e-02
1.4510,0.02572,2.78e-02
1.5525,0.07362,7.94e-02
1.3387,0.04285,4.63e-02
1.2706,0.05960,6.43e-02
2.0760,0.07716,8.32e-02
1.1790,0.06589,7.11e-02
1.2141,0.03261,3.52e-02
1.2360,0.04319,4.66e-02
1.5059,0.07423,8.00e-02
0.9952,0.07578,8.16e-02
2.1118,0.08215,8.85e-02
1.0484,0.07374,7.95e-02
1.0765,0.07127,7.68e-02
1.1515,0.06512,7.03e-02
1.1981,0.05720,6.17e-02
2.5088,0.08410,9.06e-02
2.2143,0.08552,9.21e-02
1.3202,0.07505,8.09e-02
1.1944,0.02797,3.02e-02
1.7651,0.07648,8.24e-02
1.1777,0.05108,5.52e-02
1.1371,0.05699,6.15e-02
1.1102,0.06190,6.68e-02
1.0670,0.06685,7.21e-02
1.0339,0.07029,7.58e-02
1.8892,0.07917,8.53e-02
2.1879,0.07509,8.09e-02
0.9420,0.07606,8.19e-02
1.1317,0.05284,5.71e-02
1.1405,0.04819,5.20e-02
1.0082,0.07376,7.95e-02
2.1371,0.08522,9.18e-02
1.1680,0.04231,4.57e-02
1.4398,0.07716,8.31e-02
1.5974,0.07855,8.46e-02
1.1713,0.07685,8.28e-02
1.0564,0.06607,7.13e-02
1.0638,0.06356,6.86e-02
1.0084,0.07192,7.75e-02
1.1949,0.02656,2.87e-02
0.9388,0.07625,8.21e-02
2.2564,0.08523,9.18e-02
2.3416,0.08242,8.88e-02
1.0751,0.06136,6.62e-02
0.9650,0.07537,8.12e-02
0.9458,0.07534,8.12e-02
0.9766,0.07428,8.00e-02
1.1738,0.03311,3.57e-02
1.9802,0.08210,8.85e-02
1.0732,0.06465,6.98e-02
2.5256,0.08572,9.24e-02
2.8642,0.07727,8.33e-02
1.2773,0.02916,3.15e-02
0.9811,0.07229,7.79e-02
2.3477,0.08624,9.29e-02
1.1547,0.04172,4.51e-02
1.1435,0.03774,4.07e-02
1.2156,0.04058,4.38e-02
1.1486,0.03585,3.87e-02
1.1220,0.07702,8.30e-02
1.1115,0.05441,5.87e-02
1.0765,0.05681,6.13e-02
2.4917,0.08712,9.39e-02
2.0810,0.08525,9.18e-02
1.0536,0.06254,6.75e-02
1.0163,0.06757,7.29e-02
0.9757,0.07316,7.88e-02
1.1374,0.04496,4.85e-02
0.9710,0.07224,7.79e-02
1.1259,0.04915,5.31e-02
2.1185,0.06122,6.60e-02
1.6059,0.07812,8.42e-02
1.0789,0.05897,6.37e-02
1.4342,0.07819,8.42e-02
1.5255,0.07780,8.38e-02
2.0617,0.08396,9.05e-02
1.0198,0.06859,7.40e-02
1.0290,0.06666,7.19e-02
2.6112,0.08803,9.48e-02
2.2402,0.08646,9.31e-02
1.9364,0.07343,7.92e-02
1.8094,0.07954,8.57e-02
1.3163,0.07803,8.41e-02
0.9140,0.07663,8.25e-02
0.9091,0.07583,8.17e-02
0.9031,0.07645,8.23e-02
2.3723,0.08530,9.19e-02
1.5232,0.06204,6.69e-02
0.9892,0.07116,7.67e-02
0.9905,0.07001,7.55e-02
2.1783,0.08413,9.06e-02
1.1561,0.02553,2.75e-02
1.8744,0.03438,3.71e-02
1.5862,0.03308,3.57e-02
1.7865,0.05704,6.16e-02
1.3667,0.07808,8.41e-02
1.9170,0.08178,8.81e-02
1.1177,0.04714,5.09e-02
1.0977,0.04980,5.38e-02
1.6714,0.07900,8.51e-02
1.0166,0.06440,6.95e-02
1.0610,0.06299,6.80e-02
1.0350,0.06233,6.73e-02
1.0589,0.06185,6.68e-02
1.0960,0.05689,6.14e-02
1.0307,0.05914,6.39e-02
1.0710,0.05872,6.34e-02
1.8236,0.06268,6.76e-02
1.0047,0.06597,7.12e-02
2.3901,0.08600,9.27e-02
1.1719,0.02747,2.96e-02
1.1514,0.03970,4.29e-02
1.6952,0.07368,7.94e-02
1.1077,0.05239,5.66e-02
2.0378,0.08047,8.67e-02
2.1517,0.08034,8.66e-02
2.0419,0.07932,8.55e-02
1.1651,0.02340,2.53e-02
2.6646,0.07811,8.42e-02
2.5783,0.07238,7.80e-02
2.4970,0.07940,8.56e-02
2.0145,0.08440,9.09e-02
1.1137,0.04423,4.78e-02
0.9526,0.07478,8.06e-02
0.9141,0.07547,8.13e-02
1.2396,0.07828,8.43e-02
1.1011,0.07730,8.33e-02
1.5247,0.07895,8.50e-02
1.1150,0.04255,4.60e-02
1.0125,0.07525,8.11e-02
0.9159,0.07527,8.11e-02
0.9847,0.06904,7.45e-02
2.8831,0.04393,4.74e-02
0.9630,0.07198,7.76e-02
1.0172,0.06517,7.03e-02
1.7444,0.07981,8.60e-02
0.9377,0.07393,7.97e-02
2.1588,0.07909,8.52e-02
1.1663,0.02306,2.49e-02
0.9069,0.07591,8.17e-02
1.4288,0.07317,7.89e-02
1.5323,0.07580,8.17e-02
1.6587,0.07533,8.12e-02
1.1786,0.04500,4.86e-02
1.8792,0.08090,8.72e-02
1.9159,0.07815,8.42e-02
1.2716,0.03594,3.88e-02
0.9215,0.07461,8.04e-02
2.1607,0.08424,9.08e-02
2.2305,0.08389,9.04e-02
1.8040,0.08071,8.70e-02
1.0482,0.06875,7.41e-02
1.7088,0.07681,8.28e-02
1.1387,0.03319,3.58e-02
0.9741,0.07003,7.55e-02
1.1313,0.04238,4.58e-02
1.1425,0.02667,2.88e-02
1.0638,0.05558,6.00e-02
1.2058,0.07710,8.31e-02
2.7172,0.08421,9.07e-02
0.9478,0.07276,7.84e-02
1.7239,0.07092,7.65e-02
2.0935,0.08540,9.20e-02
0.9452,0.07232,7.80e-02
1.1197,0.05928,6.40e-02
2.3779,0.08821,9.50e-02
0.9959,0.06748,7.28e-02
1.0466,0.06054,6.54e-02
1.9572,0.08404,9.05e-02
3.4360,0.06138,6.62e-02
3.1925,0.06269,6.76e-02
3.1467,0.08098,8.73e-02
1.0469,0.07764,8.36e-02
1.1028,0.04564,4.93e-02
0.9722,0.07410,7.99e-02
0.9151,0.07476,8.05e-02
2.4047,0.08278,8.92e-02
1.1578,0.05539,5.98e-02
1.2976,0.01905,2.06e-02
1.2316,0.07831,8.43e-02
1.0431,0.06025,6.50e-02
1.0089,0.06253,6.75e-02
1.1474,0.03198,3.45e-02
1.7973,0.07175,7.74e-02
2.6125,0.08363,9.01e-02
2.7228,0.08460,9.12e-02
3.2522,0.04795,5.18e-02
1.9446,0.08044,8.67e-02
2.1063,0.08350,9.00e-02
0.9353,0.07314,7.88e-02
1.0772,0.05367,5.80e-02
1.2415,0.02733,2.95e-02
