mach,path,resolution,cl_p,note
0.5,conforming,medium,0.2143,B32 taper production anchor
0.65,conforming,medium,0.2290,
0.75,conforming,medium,0.2450,
0.79,conforming,medium,0.2545,strict
0.84,conforming,medium,0.2738,B32 climb record (clamps 0+0)
0.84,conforming,coarse,0.2590,proof-of-concept
0.5,level_set+flatfrag,medium,0.2184,B28 flat anchor
0.65,level_set+flatfrag,medium,0.2296,directed ramp; strict final
0.75,level_set+flatfrag,medium,0.2456,directed ramp; strict final
0.775,level_set+flatfrag,medium,0.2545,ceiling m_last=0.775; cl_p at the 0.7875 dying state
0.84,level_set+flatfrag,coarse,0.2551,reached
