z_over_b,gamma_probe,gamma_pressure
-0.00000,0.077254,0.078073
0.01205,0.077144,0.078086
0.02410,0.071959,0.078123
0.03614,0.075519,0.078265
0.04819,0.081605,0.078066
0.06024,0.080368,0.078202
0.07229,0.080368,0.078559
0.08434,0.080950,0.078625
0.09639,0.076739,0.078328
0.10843,0.084014,0.077946
0.12048,0.085920,0.077697
0.13253,0.082899,0.077639
0.14458,0.082899,0.077786
0.15663,0.081195,0.077646
0.16867,0.083001,0.077671
0.18072,0.083001,0.077712
0.19277,0.078330,0.077326
0.20482,0.079518,0.077414
0.21687,0.069507,0.077133
0.22892,0.070604,0.076966
0.24096,0.072926,0.077038
0.25301,0.081692,0.076699
0.26506,0.074003,0.076451
0.27711,0.070533,0.076401
0.28916,0.075379,0.076675
0.30120,0.075379,0.076613
0.31325,0.077482,0.076535
0.32530,0.077482,0.076273
0.33735,0.074534,0.076220
0.34940,0.078419,0.075944
0.36145,0.069563,0.075803
0.37349,0.061037,0.075429
0.38554,0.063583,0.074862
0.39759,0.069428,0.074737
0.40964,0.071820,0.074578
0.42169,0.071820,0.073933
0.43373,0.074234,0.073569
0.44578,0.071249,0.073540
0.45783,0.071249,0.072950
0.46988,0.070078,0.072763
0.48193,0.070078,0.072435
0.49398,0.065937,0.072091
0.50602,0.071200,0.071837
0.51807,0.073035,0.071296
0.53012,0.068713,0.070468
0.54217,0.064684,0.069689
0.55422,0.060848,0.069637
0.56627,0.065114,0.069533
0.57831,0.073428,0.069064
0.59036,0.063892,0.068372
0.60241,0.070191,0.067334
0.61446,0.062772,0.066747
0.62651,0.062772,0.066556
0.63855,0.058804,0.065752
0.65060,0.058593,0.065153
0.66265,0.067947,0.064590
0.67470,0.068861,0.063795
0.68675,0.062781,0.062802
0.69880,0.053115,0.062167
0.71084,0.058245,0.061166
0.72289,0.051889,0.060163
0.73494,0.062204,0.059564
0.74699,0.059089,0.058693
0.75904,0.058422,0.057886
0.77108,0.058422,0.057103
0.78313,0.055107,0.055887
0.79518,0.058869,0.054645
0.80723,0.058633,0.053151
0.81928,0.048697,0.051471
0.83133,0.052313,0.049972
0.84337,0.053655,0.049082
0.85542,0.043036,0.047809
0.86747,0.036028,0.045996
0.87952,0.043819,0.043874
0.89157,0.043600,0.042131
0.90361,0.032670,0.040021
0.91566,0.035082,0.037721
0.92771,0.027798,0.034933
0.93976,0.032848,0.031993
0.95181,0.020937,0.028516
0.96386,0.022927,0.024292
0.97590,0.016843,0.019574
0.98795,0.016843,0.013894
