z_over_b,gamma_probe,gamma_pressure
-0.00000,0.076425,0.080065
0.00602,0.076519,0.080060
0.01205,0.076566,0.080064
0.01807,0.074178,0.080176
0.02410,0.075685,0.080148
0.03012,0.073477,0.080246
0.03614,0.075647,0.080233
0.04217,0.075647,0.080142
0.04819,0.076343,0.080131
0.05422,0.076343,0.080083
0.06024,0.076128,0.080082
0.06627,0.076199,0.080152
0.07229,0.076284,0.080098
0.07831,0.078521,0.080218
0.08434,0.074168,0.080288
0.09036,0.076247,0.080243
0.09639,0.076247,0.080279
0.10241,0.073276,0.080102
0.10843,0.074801,0.080160
0.11446,0.072224,0.080211
0.12048,0.071678,0.080192
0.12651,0.071003,0.080099
0.13253,0.070035,0.079986
0.13855,0.072115,0.079963
0.14458,0.074974,0.080185
0.15060,0.074974,0.080229
0.15663,0.077840,0.080047
0.16265,0.073947,0.080051
0.16867,0.073936,0.080002
0.17470,0.078805,0.079956
0.18072,0.079267,0.079893
0.18675,0.074566,0.079721
0.19277,0.076927,0.079570
0.19880,0.074243,0.079681
0.20482,0.078782,0.079602
0.21084,0.079241,0.079548
0.21687,0.077149,0.079490
0.22289,0.076026,0.079476
0.22892,0.073613,0.079531
0.23494,0.072824,0.079378
0.24096,0.074840,0.079386
0.24699,0.074840,0.079324
0.25301,0.072323,0.079224
0.25904,0.074602,0.079139
0.26506,0.074602,0.079200
0.27108,0.071802,0.079054
0.27711,0.073613,0.078955
0.28313,0.074268,0.078922
0.28916,0.074510,0.078858
0.29518,0.074626,0.078840
0.30120,0.076514,0.078705
0.30723,0.071815,0.078523
0.31325,0.069879,0.078423
0.31928,0.071779,0.078411
0.32530,0.072571,0.078280
0.33133,0.073277,0.078151
0.33735,0.073708,0.077978
0.34337,0.073708,0.077800
0.34940,0.073752,0.077625
0.35542,0.073570,0.077569
0.36145,0.073435,0.077506
0.36747,0.071391,0.077375
0.37349,0.073340,0.077316
0.37952,0.073389,0.077209
0.38554,0.070731,0.077077
0.39157,0.072476,0.076852
0.39759,0.070102,0.076698
0.40361,0.072488,0.076472
0.40964,0.072488,0.076263
0.41566,0.070258,0.076277
0.42169,0.074753,0.076125
0.42771,0.073555,0.075949
0.43373,0.073255,0.075719
0.43976,0.071134,0.075527
0.44578,0.072844,0.075426
0.45181,0.070304,0.075227
0.45783,0.075005,0.074996
0.46386,0.073418,0.074806
0.46988,0.076278,0.074666
0.47590,0.074493,0.074445
0.48193,0.076629,0.074137
0.48795,0.076265,0.073936
0.49398,0.075766,0.073762
0.50000,0.073747,0.073688
0.50602,0.072234,0.073502
0.51205,0.072234,0.073291
0.51807,0.072313,0.073074
0.52410,0.074323,0.072819
0.53012,0.072631,0.072592
0.53614,0.072542,0.072294
0.54217,0.070017,0.072054
0.54819,0.072063,0.071738
0.55422,0.071340,0.071565
0.56024,0.073410,0.071294
0.56627,0.073742,0.071081
0.57229,0.071312,0.070816
0.57831,0.071312,0.070615
0.58434,0.072426,0.070270
0.59036,0.068912,0.070028
0.59639,0.068204,0.069730
0.60241,0.068174,0.069377
0.60843,0.069621,0.069069
0.61446,0.063895,0.068845
0.62048,0.065414,0.068564
0.62651,0.065862,0.068310
0.63253,0.066165,0.067958
0.63855,0.065773,0.067592
0.64458,0.065773,0.067379
0.65060,0.065361,0.067133
0.65663,0.064759,0.066725
0.66265,0.064759,0.066435
0.66867,0.064420,0.066117
0.67470,0.063631,0.065697
0.68072,0.059848,0.065201
0.68675,0.059595,0.064877
0.69277,0.061581,0.064484
0.69880,0.061739,0.064019
0.70482,0.063760,0.063576
0.71084,0.063360,0.063213
0.71687,0.059504,0.062770
0.72289,0.057225,0.062229
0.72892,0.058386,0.061699
0.73494,0.055213,0.061364
0.74096,0.054454,0.060886
0.74699,0.053951,0.060395
0.75301,0.053939,0.059915
0.75904,0.056283,0.059408
0.76506,0.058246,0.058968
0.77108,0.055581,0.058437
0.77711,0.055215,0.057965
0.78313,0.055215,0.057324
0.78916,0.056738,0.056762
0.79518,0.051909,0.056262
0.80120,0.052116,0.055646
0.80723,0.049655,0.055146
0.81325,0.051053,0.054454
0.81928,0.052378,0.053594
0.82530,0.048046,0.052872
0.83133,0.049303,0.052235
0.83735,0.051137,0.051589
0.84337,0.048390,0.050813
0.84940,0.048002,0.050000
0.85542,0.049778,0.049230
0.86145,0.047649,0.048447
0.86747,0.046798,0.047574
0.87349,0.045877,0.046708
0.87952,0.045007,0.045804
0.88554,0.043878,0.044802
0.89157,0.041177,0.043868
0.89759,0.040097,0.042734
0.90361,0.037918,0.041694
0.90964,0.041146,0.040613
0.91566,0.040335,0.039417
0.92169,0.037128,0.038168
0.92771,0.038480,0.036950
0.93373,0.037772,0.035643
0.93976,0.037173,0.034136
0.94578,0.034332,0.032512
0.95181,0.025718,0.030778
0.95783,0.026011,0.028888
0.96386,0.022739,0.027003
0.96988,0.024462,0.024665
0.97590,0.022312,0.022164
0.98193,0.019997,0.019064
0.98795,0.016476,0.015067
0.99398,0.012828,0.009845
