metric,value
n_nodes,12572
n_elements,63980
total_volume,1863.613441384392
min_volume,6.3446593035309475e-09
max_volume,6.977589798367343
mean_volume,0.029128062541175243
min_edge_length,0.0019262603862586509
max_edge_length,4.842501751848326
mean_edge_length,0.1321931532676721
min_dihedral_deg,7.190191956361446
p01_dihedral_deg,17.629460265886664
max_aspect_ratio,7.170186511446909
p99_aspect_ratio,3.0164632531845648
n_wall_faces,6912
n_farfield_faces,372
n_symmetry_faces,1284
h_wall,0.03
gen_seconds,3.5
corridor_n_elements,5263
corridor_median_edge,0.0611540165195741
corridor_p90_edge,0.17553793774974188
h_wake_target,0.09
quality_within_bounds,True
