metric,value
n_nodes,76900
n_elements,426880
total_volume,1883.0177598819748
min_volume,7.551536446014713e-10
max_volume,2.962920297264531
mean_volume,0.004411117316065346
min_edge_length,0.0009710563492050802
max_edge_length,3.73092421089201
mean_edge_length,0.049449376029168504
min_dihedral_deg,8.069429515274777
p01_dihedral_deg,18.226289831306765
max_aspect_ratio,6.889530077551449
p99_aspect_ratio,2.71378792682972
n_wall_faces,27066
n_farfield_faces,774
n_symmetry_faces,3948
h_wall,0.015
gen_seconds,17.6
corridor_n_elements,41774
corridor_median_edge,0.03293172224782483
corridor_p90_edge,0.08258312658968224
h_wake_target,0.045
quality_within_bounds,True
