metric,value
n_nodes,1575
n_elements,6345
total_volume,1618.6830105254128
min_volume,6.739690959835374e-08
max_volume,34.96209626612018
mean_volume,0.2551115855832014
min_edge_length,0.0038523657261485857
max_edge_length,10.382106967129623
mean_edge_length,0.2698737912835364
min_dihedral_deg,6.814461318763961
p01_dihedral_deg,14.36615422064529
max_aspect_ratio,17.6506613492989
p99_aspect_ratio,4.905483529864873
n_wall_faces,1774
n_farfield_faces,77
n_symmetry_faces,175
h_wall,0.06
gen_seconds,1.1
corridor_n_elements,486
corridor_median_edge,0.10939428546465041
corridor_p90_edge,0.22844767703813335
h_wake_target,0.18
quality_within_bounds,True
