station,side,x_over_c,cp
0.20,upper,0.0,0.014158873039512512
0.20,upper,0.008552855073566847,0.024902785211322873
0.20,upper,0.021508225868728845,-0.4804059748530904
0.20,upper,0.046184155929255094,-0.5817204674314574
0.20,upper,0.0687045321437508,-0.59671698966246
0.20,upper,0.09434047355497609,-0.5762961951140473
0.20,upper,0.1183895094893753,-0.3879011297615482
0.20,upper,0.13504065162911502,-0.3815701138530206
0.20,upper,0.1637077954426787,-0.3809533632355728
0.20,upper,0.18303159117708942,-0.4287289713943886
0.20,upper,0.20877384443721916,-0.3739398418552879
0.20,upper,0.24433375575786412,-0.36081625450590504
0.20,upper,0.2735583673675174,-0.34003534358806975
0.20,upper,0.3070607044410985,-0.3389321831608572
0.20,upper,0.33623201863810437,-0.34648954909476604
0.20,upper,0.36857881275177456,-0.3709736344891619
0.20,upper,0.39657104172818985,-0.32656106872992036
0.20,upper,0.43066466524397706,-0.340965684732845
0.20,upper,0.4584984532919817,-0.31928187224047855
0.20,upper,0.46269273065989736,-0.33331330954676114
0.20,upper,0.49090569917984755,-0.3298980085307332
0.20,upper,0.5198813245364503,-0.3187856531106527
0.20,upper,0.5480701852185407,-0.2645396134589041
0.20,upper,0.5847597241650372,-0.27652169636495794
0.20,upper,0.6129686305284245,-0.24642443031027178
0.20,upper,0.6460435169189452,-0.2230470673660744
0.20,upper,0.6738711204830657,-0.1920259588441246
0.20,upper,0.706158943558694,-0.19635677336241325
0.20,upper,0.7331879473547511,-0.17413656708524403
0.20,upper,0.7654014878194428,-0.164645769540703
0.20,upper,0.7927510592510518,-0.16415729018028594
0.20,upper,0.7927810063802436,-0.13381931244078
0.20,upper,0.8207665934080732,-0.10585531356083769
0.20,upper,0.8555569015715925,-0.07837426371275227
0.20,upper,0.8844113332169892,-0.05334993588744958
0.20,upper,0.9213563664894875,0.0208551264020405
0.20,upper,0.9397985488967125,0.037878680140897875
0.20,upper,0.947206444538254,0.1400287873999493
0.20,upper,0.964175739584886,0.1081216758902784
0.20,upper,0.9866392004607072,0.205308957524871
0.20,upper,0.9999945293483969,0.22422271890084322
0.20,lower,4.46059209443461e-14,0.7484238468413452
0.20,lower,0.008690576471492018,0.6931006277620924
0.20,lower,0.022017900623912855,0.20317376779340662
0.20,lower,0.04334987625288888,0.18492587870953103
0.20,lower,0.06343216225774197,0.07338333782353018
