station,side,x_over_c,cp
0.20,upper,0.0,0.3760147288386241
0.20,upper,0.0040329826011779825,0.348320946551267
0.20,upper,0.014357862569418877,-0.5450014647322026
0.20,upper,0.023564009199762693,-0.5275736169925687
0.20,upper,0.034491227944791696,-0.616136237883751
0.20,upper,0.05169196003510803,-0.7326972256083994
0.20,upper,0.0733323912450268,-0.5347047778332183
0.20,upper,0.09496256018520723,-0.6040996260152676
0.20,upper,0.11520946621336323,-0.5625410003447577
0.20,upper,0.1358855423660001,-0.4811779602621285
0.20,upper,0.15615995975087546,-0.4750729971413975
0.20,upper,0.17687432781349083,-0.5256263190383628
0.20,upper,0.1971936865676106,-0.4869524214097106
0.20,upper,0.21796742765555,-0.5033600768396491
0.20,upper,0.23828080431307527,-0.4775940054038707
0.20,upper,0.25905839624769295,-0.4696226752590571
0.20,upper,0.27937702394831804,-0.48620069454183723
0.20,upper,0.3001679798225828,-0.47444702445680104
0.20,upper,0.320492141014377,-0.4816284319170784
0.20,upper,0.3412898114906104,-0.4968373119940658
0.20,upper,0.3616041611489655,-0.5019022108401173
0.20,upper,0.38242236691385517,-0.5173218908404138
0.20,upper,0.40273835606839814,-0.5131536655149885
0.20,upper,0.423535164718008,-0.5075084268091737
0.20,upper,0.4438539466357488,-0.4987702562227834
0.20,upper,0.464675481141685,-0.5099598104130382
0.20,upper,0.484982005680057,-0.48653585237722935
0.20,upper,0.5057545840995428,-0.4740357930495951
0.20,upper,0.5260503599309879,-0.4512016345207597
0.20,upper,0.5468260930084858,-0.4220939746510242
0.20,upper,0.5671145967175907,-0.39360647834299983
0.20,upper,0.5878858210921274,-0.38924251762488404
0.20,upper,0.6081620936272638,-0.33550682718367486
0.20,upper,0.6289116324083411,-0.31572685080007445
0.20,upper,0.6491774963732457,-0.26015470743411995
0.20,upper,0.6699154085917396,-0.23339590551785272
0.20,upper,0.6901639392748796,-0.20502057596021123
0.20,upper,0.7108829813160075,-0.19259608164654354
0.20,upper,0.7311495250615705,-0.16066271233140184
0.20,upper,0.7518649380553667,-0.1449467584847533
0.20,upper,0.77210695398985,-0.11238811133832312
0.20,upper,0.7928105529319531,-0.10227483804557404
0.20,upper,0.8130445866376199,-0.08202960554797639
0.20,upper,0.8337465401036398,-0.06422010791426626
0.20,upper,0.8540377871713669,-0.03250906513187806
0.20,upper,0.8747909606721258,-0.014513539547316186
0.20,upper,0.8956231150741558,0.04094807493661472
0.20,upper,0.9184533409687179,0.05480819591346161
0.20,upper,0.9411968855031734,0.12536580617900248
0.20,upper,0.9572322111868047,0.12911253804424422
0.20,upper,0.9688775479059433,0.13710285123340096
0.20,upper,0.9704603016498629,0.17715657335261054
0.20,upper,0.9797416707949499,0.17666366413282766
0.20,upper,0.9894985932941639,0.026735670305165604
0.20,upper,0.9983603448836871,0.094136636605294
0.20,lower,6.645593781505566e-05,0.8302679210334774
0.20,lower,0.004144998894333397,0.7693413310900938
0.20,lower,0.01252401069172591,0.2910865584886428
0.20,lower,0.021550012696996114,0.31395052847998667
0.20,lower,0.02981273979253903,0.012353230664954796
0.20,lower,0.04320150804099473,0.018726236944868413
0.20,lower,0.05424856106721821,-0.009169180399759313
0.20,lower,0.07341155213949353,0.02324103738303902
0.20,lower,0.09703522588228582,0.0021746017738639442
0.20,lower,0.11635733895093281,-0.02608086888536425
0.20,lower,0.13851507281809564,-0.07493731846618915
0.20,lower,0.1577703604592381,-0.06679447662307324
0.20,lower,0.17997694299158096,-0.08940499782839233
0.20,lower,0.19933737444320254,-0.09553937608401236
0.20,lower,0.2216230077681,-0.12378079998231678
0.20,lower,0.24096377632493096,-0.11535360436283952
0.20,lower,0.261403579015334,-0.13098274139267874
0.20,lower,0.2807543444019805,-0.12888285322319212
0.20,lower,0.28254565059681086,-0.16167147562952902
0.20,lower,0.3019055929303649,-0.15351095227234174
0.20,lower,0.3241396683955402,-0.17773725280378838
0.20,lower,0.34350594229644765,-0.1793750749538424
0.20,lower,0.3657393906476177,-0.18796591394184878
0.20,lower,0.38510872412206737,-0.1928909180625394
0.20,lower,0.40733891105574516,-0.21724858174953218
0.20,lower,0.42670826182933963,-0.21521634764336248
0.20,lower,0.4489253042171235,-0.21081538803217806
0.20,lower,0.46828877855883,-0.22581540714375664
0.20,lower,0.4905098551734426,-0.22508667266594073
0.20,lower,0.5098654643085758,-0.21312501220126331
0.20,lower,0.532066686738315,-0.21912145755669704
0.20,lower,0.551411453341989,-0.22300324586057962
0.20,lower,0.5666180441825908,-0.17667841876849658
0.20,lower,0.5859502570707297,-0.17747452359744972
0.20,lower,0.5929343683191854,-0.16784872141888402
0.20,lower,0.6122543032594282,-0.1677551942317491
0.20,lower,0.6344307709275332,-0.1430687874054939
0.20,lower,0.6537396206708387,-0.13574516832085873
0.20,lower,0.6758982062440991,-0.11945257055550965
0.20,lower,0.6952025758480167,-0.11548243364488298
0.20,lower,0.7173474324375563,-0.08996459493738697
0.20,lower,0.7366374934887127,-0.08068536809969587
0.20,lower,0.7587969843980902,-0.05901068533560598
0.20,lower,0.7780767787408646,-0.060812372510284846
0.20,lower,0.8002133484790774,-0.03853470088758648
0.20,lower,0.8194852976166161,-0.02861472782191129
0.20,lower,0.8415947395392701,-0.005520742020154889
0.20,lower,0.8608824663314403,-0.002009353361486844
0.20,lower,0.8710037248280931,0.044823819666533544
0.20,lower,0.8904606355474136,0.043485399674835765
0.20,lower,0.9027417202476614,0.10616394604760912
0.20,lower,0.9218708890922848,0.11448020023241393
0.20,lower,0.9440198528237054,0.20642055795884803
0.20,lower,0.9580119418692239,0.19240200380049877
0.20,lower,0.9731822195224673,0.33360586239017237
0.20,lower,0.9845534208582709,0.2914864927505532
0.20,lower,0.9921830580761654,0.4716671767842951
0.20,lower,1.0,0.5330671409818567
0.44,upper,0.0,0.26850381750890684
0.44,upper,0.0051256620768222365,0.0848802351355737
0.44,upper,0.014015278464835466,-0.629931790624129
0.44,upper,0.025769033862860974,-0.6077062548397181
0.44,upper,0.044258861749142606,-0.7046630748761653
0.44,upper,0.06894920458225713,-0.7565793012324278
0.44,upper,0.09388671318243487,-0.6698279403558167
0.44,upper,0.11716411795597448,-0.613972287654595
