station,side,x_over_c,cp
0.20,upper,0.0,0.5270931625932831
0.20,upper,0.001077717332007431,0.46960904604127834
0.20,upper,0.0036116071100876705,-0.059807853117917024
0.20,upper,0.006236012442905091,-0.024987029476083996
0.20,upper,0.00947754434411447,-0.7982061007876142
0.20,upper,0.01208702906201013,-0.8573167036474576
0.20,upper,0.015437252221912647,-1.0002603159810846
0.20,upper,0.019380978334228114,-1.0020628097634747
0.20,upper,0.020614608878331213,-1.2898690263807302
0.20,upper,0.021184586045070765,-0.772074984182633
0.20,upper,0.026738890926819966,-0.8390618560535382
0.20,upper,0.034006366194152586,-0.7927537990127633
0.20,upper,0.04180198745633505,-0.8706001336581201
0.20,upper,0.05566057865100594,-0.6360908852595695
0.20,upper,0.06422572593891457,-0.664250695295735
0.20,upper,0.06499426965767202,-0.6006065303162559
0.20,upper,0.07380598797146697,-0.5709825191604943
0.20,upper,0.0879021046413396,-0.49126580284110133
0.20,upper,0.09670190342609923,-0.49992685542100707
0.20,upper,0.10431407021578117,-0.4857740608708238
0.20,upper,0.11316290871776541,-0.4770729117358621
0.20,upper,0.12032512226623626,-0.4617783670360712
0.20,upper,0.12919456582749922,-0.4687175052806685
0.20,upper,0.14388436930828474,-0.45464984172939604
0.20,upper,0.1527646503458761,-0.45306065244572136
0.20,upper,0.1532816962963585,-0.4451578804291418
0.20,upper,0.16216330186655573,-0.4316622244248492
0.20,upper,0.1763199333104249,-0.4223967902039477
0.20,upper,0.18520904146180675,-0.4244324812117795
0.20,upper,0.19358049028341756,-0.42211293288403895
0.20,upper,0.20247357751295605,-0.4225474745741224
0.20,upper,0.2087818127902456,-0.41089688300008154
0.20,upper,0.2176751513436253,-0.4148735343934983
0.20,upper,0.2323603773186534,-0.4082984111098743
0.20,upper,0.2412623306525226,-0.40576870347430843
0.20,upper,0.24284752413876243,-0.4039208987536096
0.20,upper,0.25174871964018797,-0.39854849491897265
0.20,upper,0.2648407762853217,-0.4040059192601211
0.20,upper,0.2737408970496465,-0.4035824065798129
0.20,upper,0.28326961589672917,-0.39785209595229815
0.20,upper,0.29217727555847506,-0.3932760137251981
0.20,upper,0.2973355166178824,-0.398404117321894
0.20,upper,0.3062415993897424,-0.3990526045014875
0.20,upper,0.32091683094794016,-0.39286710772453715
0.20,upper,0.32982299975866053,-0.3901375892625812
0.20,upper,0.33264146334717287,-0.3940006014424437
0.20,upper,0.3415484788268156,-0.39032882209338227
0.20,upper,0.35338746911670366,-0.400514345726859
0.20,upper,0.3623104416624616,-0.3971240187492901
0.20,upper,0.37316669060942875,-0.3912103994220676
0.20,upper,0.38206386628805167,-0.3869130902798397
0.20,upper,0.38589665156050557,-0.3919426726156613
0.20,upper,0.3948015686844856,-0.3881909518020839
0.20,upper,0.40948162805400734,-0.3756954760546097
0.20,upper,0.41837888486439484,-0.38059485692384243
0.20,upper,0.4224912988253427,-0.3818843655055429
0.20,upper,0.4314067649822875,-0.38298158483237144
0.20,upper,0.4419346434622926,-0.3683777282887572
0.20,upper,0.45084851950690996,-0.37183959795325966
0.20,upper,0.46302801772207125,-0.36243075908090433
0.20,upper,0.4719316108973383,-0.36305562473768443
0.20,upper,0.47444060511652136,-0.3518295791268198
0.20,upper,0.4833618437916799,-0.3544032775819281
0.20,upper,0.4980271456828803,-0.34474647648714957
0.20,upper,0.5069140363462123,-0.34522432816471854
0.20,upper,0.5124026801050439,-0.3356182299312927
0.20,upper,0.5212996330129808,-0.3328501921059012
0.20,upper,0.5304717692605005,-0.31113433863014667
0.20,upper,0.5393685126700486,-0.30818869454024517
0.20,upper,0.5528243875744498,-0.3064307085549932
0.20,upper,0.5617140994975054,-0.30208363463358257
0.20,upper,0.5629051576339067,-0.28458408757297415
0.20,upper,0.5717999266970292,-0.29050220030081436
0.20,upper,0.5864412794060342,-0.27182515934148893
0.20,upper,0.5953266102198294,-0.2686298212911205
0.20,upper,0.6021192645313601,-0.2581953566934004
0.20,upper,0.6110123026877723,-0.2555554787137492
0.20,upper,0.6188697603648954,-0.2391814089933923
0.20,upper,0.6277533546791253,-0.2411461102381384
0.20,upper,0.6423886665896409,-0.2235577954061101
0.20,upper,0.6512710002691152,-0.2229939713735245
0.20,upper,0.6513835433677531,-0.21456793156297588
