path,alpha,level,eta,side,x_over_c,cp
conforming,0.0,xcoarse,0.20,upper,0.00000,0.457995
conforming,0.0,xcoarse,0.20,upper,0.00038,0.458026
conforming,0.0,xcoarse,0.20,upper,0.00075,0.458056
conforming,0.0,xcoarse,0.20,upper,0.00113,0.458087
conforming,0.0,xcoarse,0.20,upper,0.00150,0.458118
conforming,0.0,xcoarse,0.20,upper,0.00188,0.458148
conforming,0.0,xcoarse,0.20,upper,0.00226,0.458179
conforming,0.0,xcoarse,0.20,upper,0.00263,0.458209
conforming,0.0,xcoarse,0.20,upper,0.00301,0.458240
conforming,0.0,xcoarse,0.20,upper,0.00338,0.458271
conforming,0.0,xcoarse,0.20,upper,0.00376,0.458301
conforming,0.0,xcoarse,0.20,upper,0.00414,0.458332
conforming,0.0,xcoarse,0.20,upper,0.00451,0.458362
conforming,0.0,xcoarse,0.20,upper,0.00489,0.458393
conforming,0.0,xcoarse,0.20,upper,0.00526,0.458424
conforming,0.0,xcoarse,0.20,upper,0.00564,0.458454
conforming,0.0,xcoarse,0.20,upper,0.00602,0.458485
conforming,0.0,xcoarse,0.20,upper,0.00639,0.458515
conforming,0.0,xcoarse,0.20,upper,0.00677,0.458546
conforming,0.0,xcoarse,0.20,upper,0.00714,0.458576
conforming,0.0,xcoarse,0.20,upper,0.00752,0.458607
conforming,0.0,xcoarse,0.20,upper,0.00789,0.458638
conforming,0.0,xcoarse,0.20,upper,0.00827,0.458668
conforming,0.0,xcoarse,0.20,upper,0.00865,0.454627
conforming,0.0,xcoarse,0.20,upper,0.00902,0.438334
conforming,0.0,xcoarse,0.20,upper,0.00940,0.422040
conforming,0.0,xcoarse,0.20,upper,0.00977,0.405746
conforming,0.0,xcoarse,0.20,upper,0.01015,0.389453
conforming,0.0,xcoarse,0.20,upper,0.01053,0.373159
conforming,0.0,xcoarse,0.20,upper,0.01090,0.356865
conforming,0.0,xcoarse,0.20,upper,0.01128,0.340571
conforming,0.0,xcoarse,0.20,upper,0.01165,0.324278
conforming,0.0,xcoarse,0.20,upper,0.01203,0.307984
conforming,0.0,xcoarse,0.20,upper,0.01241,0.291690
conforming,0.0,xcoarse,0.20,upper,0.01278,0.275396
conforming,0.0,xcoarse,0.20,upper,0.01316,0.259103
conforming,0.0,xcoarse,0.20,upper,0.01353,0.242809
conforming,0.0,xcoarse,0.20,upper,0.01391,0.226515
conforming,0.0,xcoarse,0.20,upper,0.01429,0.210221
conforming,0.0,xcoarse,0.20,upper,0.01466,0.193928
conforming,0.0,xcoarse,0.20,upper,0.01504,0.177634
conforming,0.0,xcoarse,0.20,upper,0.01541,0.161340
conforming,0.0,xcoarse,0.20,upper,0.01579,0.145047
conforming,0.0,xcoarse,0.20,upper,0.01617,0.128753
conforming,0.0,xcoarse,0.20,upper,0.01654,0.112459
conforming,0.0,xcoarse,0.20,upper,0.01692,0.096165
conforming,0.0,xcoarse,0.20,upper,0.01729,0.079872
conforming,0.0,xcoarse,0.20,upper,0.01767,0.063578
conforming,0.0,xcoarse,0.20,upper,0.01805,0.047284
conforming,0.0,xcoarse,0.20,upper,0.01842,0.030990
conforming,0.0,xcoarse,0.20,upper,0.01880,0.014697
conforming,0.0,xcoarse,0.20,upper,0.01917,-0.001597
conforming,0.0,xcoarse,0.20,upper,0.01955,-0.017891
conforming,0.0,xcoarse,0.20,upper,0.01992,-0.034185
conforming,0.0,xcoarse,0.20,upper,0.02030,-0.050478
conforming,0.0,xcoarse,0.20,upper,0.02068,-0.066772
conforming,0.0,xcoarse,0.20,upper,0.02105,-0.083066
conforming,0.0,xcoarse,0.20,upper,0.02143,-0.099359
conforming,0.0,xcoarse,0.20,upper,0.02180,-0.103569
conforming,0.0,xcoarse,0.20,upper,0.02218,-0.104529
conforming,0.0,xcoarse,0.20,upper,0.02256,-0.105490
conforming,0.0,xcoarse,0.20,upper,0.02293,-0.106450
conforming,0.0,xcoarse,0.20,upper,0.02331,-0.107410
conforming,0.0,xcoarse,0.20,upper,0.02368,-0.108371
conforming,0.0,xcoarse,0.20,upper,0.02406,-0.109331
conforming,0.0,xcoarse,0.20,upper,0.02444,-0.110292
conforming,0.0,xcoarse,0.20,upper,0.02481,-0.111252
conforming,0.0,xcoarse,0.20,upper,0.02519,-0.112212
conforming,0.0,xcoarse,0.20,upper,0.02556,-0.113173
conforming,0.0,xcoarse,0.20,upper,0.02594,-0.114133
conforming,0.0,xcoarse,0.20,upper,0.02632,-0.115094
conforming,0.0,xcoarse,0.20,upper,0.02669,-0.116054
conforming,0.0,xcoarse,0.20,upper,0.02707,-0.117015
conforming,0.0,xcoarse,0.20,upper,0.02744,-0.117975
conforming,0.0,xcoarse,0.20,upper,0.02782,-0.118935
conforming,0.0,xcoarse,0.20,upper,0.02820,-0.119896
conforming,0.0,xcoarse,0.20,upper,0.02857,-0.120856
conforming,0.0,xcoarse,0.20,upper,0.02895,-0.121817
