station,side,x_over_c,cp
0.20,upper,0.0,0.12281849567296636
0.20,upper,0.00432198527898525,0.2888926258075099
0.20,upper,0.01185008581920341,-0.7491660225854371
0.20,upper,0.02633080757081589,-0.8008415536284443
0.20,upper,0.04131409025794061,-0.6974090630092757
0.20,upper,0.052685641649102485,-0.5397755888792777
0.20,upper,0.06950907779417001,-0.5804468801133499
0.20,upper,0.08727640804814828,-0.4621312955203394
0.20,upper,0.10555036856178533,-0.4173810455678055
0.20,upper,0.1286678787791587,-0.41207891115527073
0.20,upper,0.1463635541122231,-0.41868006837258953
0.20,upper,0.1548423616611867,-0.38651209957721266
0.20,upper,0.17256264604552643,-0.36232816318943767
0.20,upper,0.20423828842791497,-0.3642669471385975
0.20,upper,0.22197185044859452,-0.3721286709368451
0.20,upper,0.2220436907709103,-0.35931132887746686
0.20,upper,0.23978575730759907,-0.34680267387145614
0.20,upper,0.2716061992979417,-0.3454525707392509
0.20,upper,0.2893582932719727,-0.3267644212074645
0.20,upper,0.2975165816346777,-0.3315178422626876
0.20,upper,0.31521778128193484,-0.3313580753407974
0.20,upper,0.338952059075174,-0.3341258050071821
0.20,upper,0.3567406658968719,-0.32525481164190373
0.20,upper,0.3726951734878525,-0.3313445835994485
0.20,upper,0.3904770042976946,-0.33109860944819663
0.20,upper,0.40685129586114743,-0.33409096610266953
0.20,upper,0.424593837255326,-0.31839644769425063
0.20,upper,0.44875522169408827,-0.32601018017072053
0.20,upper,0.4665204292348194,-0.3249320631727078
0.20,upper,0.47377282032278023,-0.31036667514092264
0.20,upper,0.4915176184918703,-0.29497689611272565
0.20,upper,0.5233812933154113,-0.30124607955193045
0.20,upper,0.5411200113045483,-0.2880762356417195
0.20,upper,0.5420327779228734,-0.2614676660719267
0.20,upper,0.5597583733197481,-0.26048664934310556
0.20,upper,0.5906704533079922,-0.2567978452341419
0.20,upper,0.6083885187499977,-0.23834374456708765
0.20,upper,0.6172566082682966,-0.2287852878975703
0.20,upper,0.6349253983388969,-0.2252567831089965
0.20,upper,0.6580604503339981,-0.213978108182678
0.20,upper,0.6758405751408115,-0.2001041594663611
0.20,upper,0.6928957347259201,-0.19071134668674405
0.20,upper,0.7105514113533461,-0.18896138170047355
0.20,upper,0.7251876944423582,-0.17250490654218273
0.20,upper,0.7426432569985181,-0.16274885571586814
0.20,upper,0.767800628764941,-0.15362282161859028
0.20,upper,0.7857060736430537,-0.15156406746110326
0.20,upper,0.7921167402267513,-0.13483030013674244
0.20,upper,0.8097972444065882,-0.12756606625811542
0.20,upper,0.8414790749527364,-0.1150675065274461
0.20,upper,0.859129680758999,-0.1095556387232376
0.20,upper,0.8611340295060832,-0.08573355907698586
0.20,upper,0.8786839671624938,-0.08388800359553018
0.20,upper,0.9097342102032285,-0.056752995647133826
0.20,upper,0.9287179172246456,-0.04519652671481374
0.20,upper,0.9361619722518224,-0.014212379574794655
0.20,upper,0.9521436654990011,-0.009885540728264674
0.20,upper,0.9683716011384113,-0.019527818290506566
0.20,upper,0.978004479049098,0.0009669930968586682
0.20,upper,0.9906697991540604,-0.004597945292521872
0.20,upper,0.9999064826300899,-0.08364682525567536
0.20,lower,2.0444902813881194e-14,0.7182582207616848
0.20,lower,0.004313712669816502,0.8198004989244064
0.20,lower,0.013194100248045699,0.30674473567591515
0.20,lower,0.02395619494621993,0.300088814411495
0.20,lower,0.04009222351626906,0.07950127214559652
0.20,lower,0.05316570758409468,0.05011543634857328
0.20,lower,0.05822781785714011,0.062139794547907044
0.20,lower,0.07584237344287696,0.06730827677215243
0.20,lower,0.10240151593630148,0.01580069733614794
0.20,lower,0.11998145266420229,0.0028610203980760315
0.20,lower,0.13429072229809053,0.0013712537856596062
0.20,lower,0.15213648336375507,0.002549264646944409
0.20,lower,0.16953681624368208,-0.0390161023157742
0.20,lower,0.18740911282322,-0.052640521445593676
0.20,lower,0.21002355603350845,-0.049807802751924056
0.20,lower,0.22759557390007115,-0.05057375139574409
0.20,lower,0.23698161571792845,-0.07115825144104145
0.20,lower,0.25515127274165245,-0.07105243154102472
0.20,lower,0.28619054395818744,-0.08321753374416226
0.20,lower,0.30384693506848554,-0.08903364274169875
0.20,lower,0.30518466426636026,-0.10600577984760477
0.20,lower,0.32279788333037135,-0.10631346599013435
0.20,lower,0.3527322844429792,-0.11854383169713714
0.20,lower,0.37042668277716473,-0.11557702753527596
0.20,lower,0.3810866734440316,-0.13461256070549263
0.20,lower,0.3988962847525857,-0.12948780170337257
0.20,lower,0.41963362846846813,-0.14329363210896462
0.20,lower,0.43745765532441167,-0.13445203948127107
0.20,lower,0.4578181169758336,-0.1467410946192512
0.20,lower,0.4755631855483493,-0.14343907244873536
0.20,lower,0.48661397106270937,-0.1528195736825933
0.20,lower,0.5044224006125873,-0.13914309589029733
0.20,lower,0.5341992785155935,-0.14323555095816923
0.20,lower,0.5519019902766024,-0.13716537023843642
0.20,lower,0.5535274480674478,-0.14390784289833403
0.20,lower,0.5713244264714821,-0.13049829738277852
0.20,lower,0.6027671990139115,-0.12866193896055253
0.20,lower,0.6204834991780563,-0.12126059785267876
0.20,lower,0.6281972754315698,-0.116924586266617
0.20,lower,0.6459468186018852,-0.11552680431253705
0.20,lower,0.6695785527992675,-0.11034510145405614
0.20,lower,0.6872476495953272,-0.1034047729902085
0.20,lower,0.7042916316792858,-0.09615201866679621
0.20,lower,0.7219444298764213,-0.09564256280625912
0.20,lower,0.7361901963046799,-0.0893695117649114
0.20,lower,0.753645957629679,-0.0844308068359327
0.20,lower,0.7781078428896949,-0.08287976445140736
0.20,lower,0.7956680518615689,-0.080836564245803
0.20,lower,0.8036092749457926,-0.07324217346288145
0.20,lower,0.8214989763568294,-0.07204979221221819
0.20,lower,0.8518138801642042,-0.06252582405257023
0.20,lower,0.8695163320976574,-0.05644721479244665
0.20,lower,0.8734919131086154,-0.05215620973022466
0.20,lower,0.8909878291224747,-0.051842568916453106
0.20,lower,0.9179924576443361,-0.02279557123100876
0.20,lower,0.9356301586752243,-0.017632720572293422
0.20,lower,0.9450153538591223,-0.01095039473514832
0.20,lower,0.956600919653885,-0.0017330991732637515
0.20,lower,0.9689509402540138,0.022888886877737484
0.20,lower,0.9789576953247896,0.004310871615644173
0.20,lower,0.9909401628071096,-0.0007509520024058988
0.20,lower,1.0,-0.08128228225154883
0.44,upper,0.002122694066950667,-0.10523331813865122
0.44,upper,0.00746116476173859,-0.1297341826442793
0.44,upper,0.008176437925288195,-0.961456252346239
0.44,upper,0.018243733743324764,-0.7651952700139198
0.44,upper,0.02816739506569422,-0.882497135617717
0.44,upper,0.038172014989032096,-0.9770253182998028
0.44,upper,0.06031201095489383,-0.6215626040266788
0.44,upper,0.07795176389520218,-0.5463706715814362
0.44,upper,0.09008333050799043,-0.5338776947082725
0.44,upper,0.11101270261428312,-0.5426037847477324
0.44,upper,0.13855490723583538,-0.4915762804171077
0.44,upper,0.15860544552590128,-0.44727490012151366
0.44,upper,0.1739933932410599,-0.4495683861430164
0.44,upper,0.19411025411806987,-0.443016688951801
0.44,upper,0.21469022966529858,-0.4280565746271116
0.44,upper,0.23480065559297775,-0.40445062525406833
0.44,upper,0.2597679647952555,-0.40208809595924516
0.44,upper,0.27988759568031435,-0.40402205285767845
0.44,upper,0.2909965447458394,-0.40363111248662364
0.44,upper,0.3111145388975983,-0.3872527797900418
0.44,upper,0.3454645349978347,-0.37223582663854937
0.44,upper,0.36560242788028485,-0.3747550272463238
0.44,upper,0.3673786660593717,-0.37646488566788744
0.44,upper,0.38751788635454676,-0.3831151195242248
0.44,upper,0.423666742545442,-0.3632583305033138
0.44,upper,0.44382090928177714,-0.3527682239769554
0.44,upper,0.4513839555846218,-0.3365643804833313
0.44,upper,0.4714768783263639,-0.3389535610484417
0.44,upper,0.500047600434711,-0.3315239586578923
