station,side,x_over_c,cp
0.20,upper,0.0,0.4897568844238464
0.20,upper,0.004032982601178097,0.3155324697783321
0.20,upper,0.014357862434447586,-0.4338580338925227
0.20,upper,0.023564009268426077,-0.4589589576864945
0.20,upper,0.034491227855630094,-0.7106854020142153
0.20,upper,0.05169196087350357,-0.6539644447819299
0.20,upper,0.07333239119067239,-0.5012126337830087
0.20,upper,0.09496256038540944,-0.5609104101764156
0.20,upper,0.11520946606638906,-0.5417023287316498
0.20,upper,0.1358855424400262,-0.5452636196668942
0.20,upper,0.15615995963283377,-0.5512245648967301
0.20,upper,0.17687432792259472,-0.5568129490988015
0.20,upper,0.19719368647437005,-0.5036679564698169
0.20,upper,0.21796742777699427,-0.4944997666283937
0.20,upper,0.23828080423829556,-0.5056706698223854
0.20,upper,0.25905839639323053,-0.5218525750618634
0.20,upper,0.2793770238980146,-0.5094528171230158
0.20,upper,0.30016797999258,-0.5306432446413325
0.20,upper,0.3204921409879629,-0.5391755164070827
0.20,upper,0.34128981168536476,-0.5373432573479274
0.20,upper,0.36160416115209687,-0.5412229566343691
0.20,upper,0.38242236713241007,-0.547341721904992
0.20,upper,0.4027383560908107,-0.5599905722268625
0.20,upper,0.4235351649609967,-0.553878759547087
0.20,upper,0.44385394668710476,-0.5507998980053895
0.20,upper,0.4646754814217938,-0.5645094795341564
0.20,upper,0.48498200575791006,-0.5584584467801866
0.20,upper,0.5057545843858752,-0.5609166285678848
0.20,upper,0.5260503600385272,-0.5672421025517521
0.20,upper,0.5468260933431095,-0.5483220642890811
0.20,upper,0.5671145968460607,-0.5062761577640317
0.20,upper,0.5878858214309429,-0.5072007198214359
0.20,upper,0.6081620937735515,-0.45726811643369136
0.20,upper,0.6289116327708064,-0.45525797521614053
0.20,upper,0.6491774965428692,-0.4178264906739667
0.20,upper,0.6699154089783913,-0.3797622778507299
0.20,upper,0.6901639394631404,-0.3237886816788093
0.20,upper,0.7108829817156619,-0.2873527631920006
0.20,upper,0.73114952527882,-0.2299419394083968
0.20,upper,0.7518649384884427,-0.20646324473768346
0.20,upper,0.7721065340671703,-0.16469490729610062
0.20,upper,0.7928055571255402,-0.14995345168334076
0.20,upper,0.8130522310557281,-0.13465119141032347
0.20,upper,0.8337960890474576,-0.1116695865187559
0.20,upper,0.8540609700449084,-0.07368908771133335
0.20,upper,0.8747268829590479,-0.059948914427505634
0.20,upper,0.8951620738379011,-0.030996711278171486
0.20,upper,0.9172932386181079,0.0005032741886963174
0.20,upper,0.9392025091746184,0.02754238486724295
0.20,upper,0.9533345628380495,0.029384372313614387
0.20,upper,0.9661328362995457,0.02571536094546002
0.20,upper,0.9736799115032007,0.07000294523046331
0.20,upper,0.9830799290647987,0.06863947921716473
0.20,upper,0.9895247903020231,-0.10973688666059056
0.20,upper,0.9983603448836874,-0.08330494080340337
0.20,lower,6.645593881251345e-05,0.8833484481319316
0.20,lower,0.004144998902672172,0.7569557872196243
0.20,lower,0.012524010700047872,0.248798922923721
0.20,lower,0.021550012774961803,0.2819100458834393
0.20,lower,0.02981274207454291,-0.006546485193244611
0.20,lower,0.04320151240837482,-0.013747756292725495
0.20,lower,0.05424856425174302,0.04380226897473132
0.20,lower,0.07341155675205455,0.03430758345688658
0.20,lower,0.09703523162329063,-0.05741348601754559
0.20,lower,0.11635734514507562,-0.04633833268198116
0.20,lower,0.1385150788186042,-0.07026413320056779
