cell,path,geom,level,n_nodes,n_tets,m_inf,alpha,status,converged,n_limited,n_floored,res_final,n_newton,m_max,cl_p,cl_kj,wall_s,m_attained,accept_reason,res_unfrozen,f_final,descent10,note
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.86,3.06,CLEAN_OVER_MMAX,True,0,0,9.548074736758556e-12,13,1.42943,0.26656571,0.27351533,5.8,0.86,tol,2.4623277890602576e-05,1.8041124150158794e-16,2575193.953,
conf_wing_coarse,conforming,m6wing,coarse,12978,55531,0.88,3.06,CLEAN_OVER_MMAX,True,0,0,2.3788219952141297e-11,13,1.47594,0.27929483,0.28749417,5.7,0.88,tol,4.885798306024932e-05,1.8041124150158794e-16,2041250.137,
conf_wb_coarse,conforming,wingbody,coarse,21625,90099,0.76,3.06,CLEAN_OVER_MMAX,True,0,0,1.3074282409217752e-12,9,1.40642,0.23738854,0.28454405,11.5,0.76,tol,4.2644286054369145e-06,4.64608867305506e-16,,
conf_wb_coarse,conforming,wingbody,coarse,21625,90099,0.77,3.06,CLEAN_OVER_MMAX,True,0,0,4.862720736636652e-11,12,1.43518,0.23938405,0.28708092,12.0,0.77,tol,4.862720736636652e-11,5.221517662690189e-16,13306.408,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.787,1.25,CLEAN,True,0,0,5.638867150992155e-11,54,1.35666,0.41225229,nan,16.5,0.787,assignment_cycle,1.761770879766568e-06,,31746.212,
ls_naca_coarse,level-set,naca2.5d,coarse,9890,29250,0.793,1.25,CLEAN,True,0,0,6.355094228638336e-11,44,1.37993,0.45753766,nan,15.8,0.793,tol,6.355094228638336e-11,,2324.654,
ls_wb_coarse,level-set,wingbody,coarse,14154,65621,0.534,3.06,CLEAN_OVER_MMAX,True,0,0,4.404654418976861e-11,14,1.41306,0.20831159,nan,16.3,0.534,tol,4.404654418976861e-11,,2596040.786,
ls_wb_coarse,level-set,wingbody,coarse,14154,65621,0.567,3.06,CLEAN_OVER_MMAX,True,0,0,2.808775434459676e-11,14,1.52981,0.21105098,nan,17.2,0.567,tol,2.808775434459676e-11,,2666605.443,
ls_wing_coarse,level-set,m6wing,coarse,9946,50605,0.86,3.06,CLEAN,True,0,0,9.945141671990898e-11,7,1.39433,0.27971276,nan,27.3,0.86,assignment_cycle,2.8345465253202216e-05,,,
ls_wing_coarse,level-set,m6wing,coarse,9946,50605,0.88,3.06,CLEAN_OVER_MMAX,True,0,0,4.973799150320701e-14,13,1.41779,0.29586006,nan,28.8,0.88,assignment_cycle,2.990732362062945e-05,,4921126804.656,
conf_wing_medium,conforming,m6wing,medium,70663,350718,0.667,3.06,NOT_CONVERGED,False,0,0,1.725108331442313e-06,60,1.34075,0.21854651,0.22091369,52.7,0.667,,,2.914335439641036e-16,1.13,
conf_wing_medium,conforming,m6wing,medium,70663,350718,0.683,3.06,NOT_CONVERGED,False,0,0,1.4757190547453204e-06,60,1.3879,0.22083908,0.22329503,55.6,0.683,,,5.065392549852277e-16,0.987,
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.787,1.25,CLEAN,True,0,0,3.4495549725982153e-12,15,1.35798,0.35461162,nan,16.5,0.787,tol,3.4495549725982153e-12,2.7755575615628914e-17,4112037.587,
conf_naca_coarse,conforming,naca2.5d,coarse,6106,16386,0.793,1.25,CLEAN,True,0,0,7.170332006092163e-12,11,1.37463,0.37855245,nan,73.4,0.793,tol,7.170332006092163e-12,1.1102230246251565e-16,3353912.836,
ls_wb_medium,level-set,wingbody,medium,101914,533129,0.45,3.06,CLEAN,True,0,0,5.945111070104758e-11,3,1.36965,0.21152379,nan,145.0,0.45,,,,,
ls_wb_medium,level-set,wingbody,medium,101914,533129,0.4,3.06,CLEAN,True,0,0,6.392042450897861e-11,4,1.23939,0.20867357,nan,177.3,0.4,,,,,
conf_wb_medium,conforming,wingbody,medium,135051,679391,0.667,3.06,CLEAN,True,0,0,1.702504330416511e-11,7,1.34072,0.23119185,0.27463278,220.1,0.667,tol,9.311071708107177e-07,4.814941848008125e-16,,
conf_wb_medium,conforming,wingbody,medium,135051,679391,0.683,3.06,CLEAN,True,0,0,2.8426894503366712e-11,8,1.37316,0.23342768,0.27737402,223.9,0.683,tol,4.3160295043052615e-06,5.794930582597677e-16,,
conf_naca_medium,conforming,naca2.5d,medium,21874,61788,0.76,1.25,NOT_CONVERGED,False,0,0,1.2420642896231451e-07,60,1.28418,0.308095,nan,161.0,0.76,,,1.1102230246251565e-16,1.0,
conf_naca_medium,conforming,naca2.5d,medium,21874,61788,0.77,1.25,NOT_CONVERGED,False,0,0,1.2420642896231451e-07,60,1.3044,0.30620781,nan,302.0,0.77,,,1.1102230246251565e-16,1.0,
ls_naca_medium,level-set,naca2.5d,medium,49716,148320,0.76,1.25,CLEAN,True,0,0,9.913492249324918e-11,32,1.29132,0.32510124,nan,120.1,0.76,tol,9.913492249324918e-11,,4571.783,
ls_naca_medium,level-set,naca2.5d,medium,49716,148320,0.77,1.25,NOT_CONVERGED,False,3394,231,0.07264587486034112,19,107.27207,1.32016649,nan,141.8,0.7500000000000002,,,,0.006,
ls_wing_medium,level-set,m6wing,medium,59399,329645,0.617,3.06,CLEAN_OVER_MMAX,True,0,0,1.0746958878371515e-13,7,1.44114,0.22130385,nan,141.1,0.617,tol,1.0746958878371515e-13,,,
ls_wing_medium,level-set,m6wing,medium,59399,329645,0.633,3.06,CLEAN_OVER_MMAX,True,0,0,5.140349951249235e-13,7,1.49236,0.22323959,nan,140.1,0.633,tol,5.140349951249235e-13,,,
conf_naca_fine,conforming,naca2.5d,fine,82356,239460,0.717,1.25,CLEAN,True,0,0,2.3525582621875952e-11,38,1.15408,0.25229927,nan,345.4,0.717,tol,2.3525582621875952e-11,2.7755575615628914e-17,4.837,
conf_naca_fine,conforming,naca2.5d,fine,82356,239460,0.734,1.25,NOT_CONVERGED,False,0,0,2.9383149738937247e-06,60,1.88186,0.26820321,nan,1417.2,0.734,,,5.551115123125783e-17,0.668,
