R,R_falsify_ceiling,R_first_order,d1,d2,eta_hi,eta_lo,leg,level,n_tri_min,note
0.37583,1.0,0.5,0.0025275633,0.0009499374,0.2,0.0,L1_probe,R,76,
0.4475,1.0,0.5,0.0016423177,0.0007349435,0.4,0.2,L1_probe,R,75,
1.6628,1.0,0.5,0.0009647145,0.0016041236,0.6,0.4,L1_probe,R,72,
0.74958,1.0,0.5,0.0017923207,0.0013434879,0.8,0.6,L1_probe,R,65,
1.98263,1.0,0.5,0.0005963696,0.0011823792,1.0001,0.8,L1_probe,R,69,
0.77292,,,0.0075232858,0.0058148717,-1,-1,L1_probe,R,,LE band pooled
0.44404,1.0,0.5,0.0028600157,0.0012699753,0.2,0.0,L2_pressure,R,76,
0.52362,1.0,0.5,0.002179926,0.0011414438,0.4,0.2,L2_pressure,R,75,
1.26144,1.0,0.5,0.001593789,0.0020104654,0.6,0.4,L2_pressure,R,72,
0.69445,1.0,0.5,0.0024223773,0.0016822082,0.8,0.6,L2_pressure,R,65,
1.27041,1.0,0.5,0.001112353,0.0014131426,1.0001,0.8,L2_pressure,R,69,
0.73927,,,0.010168461,0.0075172353,-1,-1,L2_pressure,R,,LE band pooled
0.43949,1.0,0.5,0.0028544502,0.0012544944,0.2,0.0,L3_pressure_taper,R,76,
0.51644,1.0,0.5,0.002173191,0.0011223183,0.4,0.2,L3_pressure_taper,R,75,
1.25414,1.0,0.5,0.0015853305,0.0019882317,0.6,0.4,L3_pressure_taper,R,72,
0.68725,1.0,0.5,0.0024106922,0.0016567525,0.8,0.6,L3_pressure_taper,R,65,
1.26352,1.0,0.5,0.0010989772,0.0013885747,1.0001,0.8,L3_pressure_taper,R,69,
0.73206,,,0.0101226411,0.0074103716,-1,-1,L3_pressure_taper,R,,LE band pooled
