start,rho_floor,converged,reason,n_newton,res_final,x_shock,err_x,n_floored,rho_tilde_min,n_supersonic_bins
exact@12,0.05,True,tol,5,1.2377439418292371e-12,11.9316,-0.0684,0,0.670341,58
exact@12,0.02,True,tol,5,1.2377439418292371e-12,11.9316,-0.0684,0,0.670341,58
exact@12,0.005,True,tol,5,1.2377439418292371e-12,11.9316,-0.0684,0,0.670341,58
exact@12,0.0001,True,tol,5,1.2377439418292371e-12,11.9316,-0.0684,0,0.670341,58
exact@12,1e-08,True,tol,5,1.2377439418292371e-12,11.9316,-0.0684,0,0.670341,58
perturbed@10,0.05,True,tol,20,9.177540209532847e-13,7.9827,-4.0173,72,0.05,20
perturbed@10,0.02,True,tol,16,6.428449031092458e-12,,,72,0.02,1
perturbed@10,0.005,False,cap,80,0.010925360206104065,10.0481,-1.9519,293,0.005,4
perturbed@10,0.0001,False,cap,80,0.007657741041317715,10.1474,-1.8526,826,0.0001,11
perturbed@10,1e-08,False,cap,80,0.009336857264607524,11.2998,-0.7002,1173,0.0,25
