leg,nx,C,x,flux_over_mdot
regular,40,1.0,0.05,0.879998
regular,40,1.0,0.15,0.879998
regular,40,1.0,0.25,0.879998
regular,40,1.0,0.35,0.879998
regular,40,1.0,0.45,0.879998
regular,40,1.0,0.55,0.879998
regular,40,1.0,0.65,0.879998
regular,40,1.0,0.75,0.879998
regular,40,1.0,0.85,0.879998
regular,40,1.0,0.95,0.879998
regular,40,1.0,1.05,0.879998
regular,40,1.0,1.15,0.879998
regular,40,1.0,1.25,0.879998
regular,40,1.0,1.35,0.879998
regular,40,1.0,1.45,0.879998
regular,40,1.0,1.55,0.879998
regular,40,1.0,1.65,0.879997
regular,40,1.0,1.75,0.879989
regular,40,1.0,1.85,0.879969
regular,40,1.0,1.95,0.880132
regular,40,1.0,2.05,0.879928
regular,40,1.0,2.15,0.879921
regular,40,1.0,2.25,0.879922
regular,40,1.0,2.35,0.879922
regular,40,1.0,2.45,0.879922
regular,40,1.0,2.55,0.879922
regular,40,1.0,2.65,0.879922
regular,40,1.0,2.75,0.879922
regular,40,1.0,2.85,0.879922
regular,40,1.0,2.95,0.879922
regular,40,1.0,3.05,0.879922
regular,40,1.0,3.15,0.879922
regular,40,1.0,3.25,0.879922
regular,40,1.0,3.35,0.879922
regular,40,1.0,3.45,0.879922
regular,40,1.0,3.55,0.879922
regular,40,1.0,3.65,0.879922
regular,40,1.0,3.75,0.879922
regular,40,1.0,3.85,0.879922
regular,40,1.0,3.95,0.879922
regular,40,1.5,0.05,1.0663
regular,40,1.5,0.15,1.0663
regular,40,1.5,0.25,1.0663
regular,40,1.5,0.35,1.0663
regular,40,1.5,0.45,1.0663
regular,40,1.5,0.55,1.0663
regular,40,1.5,0.65,1.0663
regular,40,1.5,0.75,1.0663
regular,40,1.5,0.85,1.0663
regular,40,1.5,0.95,1.0663
regular,40,1.5,1.05,1.0663
regular,40,1.5,1.15,1.0663
regular,40,1.5,1.25,1.0663
regular,40,1.5,1.35,1.0663
regular,40,1.5,1.45,1.0663
regular,40,1.5,1.55,1.0663
regular,40,1.5,1.65,1.0663
regular,40,1.5,1.75,1.0663
regular,40,1.5,1.85,1.0663
regular,40,1.5,1.95,1.0663
regular,40,1.5,2.05,1.0663
regular,40,1.5,2.15,1.0663
regular,40,1.5,2.25,1.0663
regular,40,1.5,2.35,1.0663
regular,40,1.5,2.45,1.0663
regular,40,1.5,2.55,1.0663
regular,40,1.5,2.65,1.0663
regular,40,1.5,2.75,1.0663
regular,40,1.5,2.85,1.0663
regular,40,1.5,2.95,1.0663
regular,40,1.5,3.05,1.0663
regular,40,1.5,3.15,1.0663
regular,40,1.5,3.25,1.0663
regular,40,1.5,3.35,1.0663
regular,40,1.5,3.45,1.0663
regular,40,1.5,3.55,1.0663
regular,40,1.5,3.65,1.0663
regular,40,1.5,3.75,1.0663
regular,40,1.5,3.85,1.0663
regular,40,1.5,3.95,1.0663
regular,40,2.0,0.05,1.0663
regular,40,2.0,0.15,1.0663
regular,40,2.0,0.25,1.0663
regular,40,2.0,0.35,1.0663
regular,40,2.0,0.45,1.0663
regular,40,2.0,0.55,1.0663
regular,40,2.0,0.65,1.0663
regular,40,2.0,0.75,1.0663
regular,40,2.0,0.85,1.0663
regular,40,2.0,0.95,1.0663
regular,40,2.0,1.05,1.0663
regular,40,2.0,1.15,1.0663
regular,40,2.0,1.25,1.0663
regular,40,2.0,1.35,1.0663
regular,40,2.0,1.45,1.0663
regular,40,2.0,1.55,1.0663
regular,40,2.0,1.65,1.0663
regular,40,2.0,1.75,1.0663
regular,40,2.0,1.85,1.0663
regular,40,2.0,1.95,1.0663
regular,40,2.0,2.05,1.0663
regular,40,2.0,2.15,1.0663
regular,40,2.0,2.25,1.0663
regular,40,2.0,2.35,1.0663
regular,40,2.0,2.45,1.0663
regular,40,2.0,2.55,1.0663
regular,40,2.0,2.65,1.0663
regular,40,2.0,2.75,1.0663
regular,40,2.0,2.85,1.0663
regular,40,2.0,2.95,1.0663
regular,40,2.0,3.05,1.0663
regular,40,2.0,3.15,1.0663
regular,40,2.0,3.25,1.0663
regular,40,2.0,3.35,1.0663
regular,40,2.0,3.45,1.0663
regular,40,2.0,3.55,1.0663
regular,40,2.0,3.65,1.0663
regular,40,2.0,3.75,1.0663
regular,40,2.0,3.85,1.0663
regular,40,2.0,3.95,1.0663
regular,40,3.0,0.05,1.0663
regular,40,3.0,0.15,1.0663
regular,40,3.0,0.25,1.0663
regular,40,3.0,0.35,1.0663
regular,40,3.0,0.45,1.0663
regular,40,3.0,0.55,1.0663
regular,40,3.0,0.65,1.0663
regular,40,3.0,0.75,1.0663
regular,40,3.0,0.85,1.0663
regular,40,3.0,0.95,1.0663
regular,40,3.0,1.05,1.0663
regular,40,3.0,1.15,1.0663
regular,40,3.0,1.25,1.0663
regular,40,3.0,1.35,1.0663
regular,40,3.0,1.45,1.0663
