leg,start,nx,h,n_dof,n_tets,C,converged,reason,n_newton,wall_s,res_exact,res_final,x_shock,err_x,err_cells,n_supersonic_bins,massflux_min,massflux_max,massflux_defect_L1
regular,exact,100,0.2,1414,3600,1.0,True,tol,4,0.08,3.5814571454197474e-12,3.5814571454197474e-12,11.90009,-0.09991,-0.5,30,1.26718,2.00257,15.468428
regular,exact,100,0.2,1414,3600,1.5,True,tol,5,0.05,1.793271651860056e-15,1.793271651860056e-15,11.86985,-0.13015,-0.651,29,1.26803,2.0039,15.492024
regular,exact,100,0.2,1414,3600,2.0,True,tol,5,0.03,2.4663124891308106e-15,2.4663124891308106e-15,11.84639,-0.15361,-0.768,29,1.26893,2.00532,15.517193
regular,exact,100,0.2,1414,3600,3.0,True,tol,5,0.03,7.928625194376157e-15,7.928625194376157e-15,11.81291,-0.18709,-0.935,29,1.2709,2.00845,15.572572
regular,exact,200,0.1,5226,14400,1.0,True,tol,13,0.34,1.2951636104088333e-12,1.2951636104088333e-12,11.94494,-0.05506,-0.551,58,1.25856,2.00122,15.444713
regular,exact,200,0.1,5226,14400,1.5,True,tol,5,0.1,1.2377439418292371e-12,1.2377439418292371e-12,11.93155,-0.06845,-0.684,58,1.25894,2.00182,15.455485
regular,exact,200,0.1,5226,14400,2.0,True,tol,5,0.11,1.2685152269960556e-15,1.2685152269960556e-15,11.91956,-0.08044,-0.804,58,1.25934,2.00245,15.466563
regular,exact,200,0.1,5226,14400,3.0,True,tol,5,0.11,1.1055530416449933e-13,1.1055530416449933e-13,11.8962,-0.1038,-1.038,59,1.26016,2.00377,15.489869
regular,exact,400,0.05,20852,60000,1.0,False,cap,80,10.63,6.206444159927974e-09,6.206444159927974e-09,11.96726,-0.03274,-0.655,118,1.25428,2.0006,15.433748
regular,exact,400,0.05,20852,60000,1.5,False,cap,80,10.86,1.885416407799065e-08,1.885416407799065e-08,11.96161,-0.03839,-0.768,117,1.25446,2.00089,15.438913
regular,exact,400,0.05,20852,60000,2.0,False,cap,80,11.0,9.517093010383191e-09,9.517093010383191e-09,11.95546,-0.04454,-0.891,118,1.25465,2.00118,15.444128
regular,exact,400,0.05,20852,60000,3.0,False,cap,80,10.06,5.911255911633399e-09,5.911255911633399e-09,11.94373,-0.05627,-1.125,118,1.25502,2.00178,15.454769
irregular,exact,100,0.2,1414,3600,1.0,True,tol,4,0.04,7.51339478622354e-12,7.51339478622354e-12,11.88722,-0.11278,-0.564,28,1.26733,2.00263,15.472528
irregular,exact,100,0.2,1414,3600,1.5,True,tol,5,0.04,2.312329415200548e-15,2.312329415200548e-15,11.85862,-0.14138,-0.707,29,1.26819,2.00399,15.49705
irregular,exact,100,0.2,1414,3600,2.0,True,tol,5,0.04,1.918302546118557e-15,1.918302546118557e-15,11.83309,-0.16691,-0.835,29,1.26911,2.00543,15.522967
irregular,exact,100,0.2,1414,3600,3.0,True,tol,5,0.03,3.868389477710768e-14,3.868389477710768e-14,11.79508,-0.20492,-1.025,29,1.27114,2.00858,15.579761
irregular,exact,200,0.1,5226,14400,1.0,True,tol,4,0.11,7.0602978523546376e-12,7.0602978523546376e-12,11.94079,-0.05921,-0.592,58,1.25896,2.00127,15.446011
