part,level,estimator,C,converged,m_reached,cl_p,gamma,x_shock,m_max,n_floored,n_limited,wall_s,error,regime,eps,gamma0,gamma1,dgamma_rel,amplification,cl0,cl1,dcl_rel
A,coarse,probe,1.0,True,0.7875,0.397924,0.20179556,0.5815742250018785,1.38241,0,0,4.1,,,,,,,,,,
A,coarse,probe,1.5,True,0.7875,0.372523,0.18914978,0.5635472735242614,1.36618,0,0,3.5,,,,,,,,,,
A,coarse,probe,2.0,True,0.7875,0.358077,0.18192421,0.5624781288594989,1.3467,0,0,3.8,,,,,,,,,,
A,coarse,probe,3.0,True,0.7875,0.34269,0.17427115,0.5674175641417591,1.31388,0,0,3.5,,,,,,,,,,
A,coarse,pressure,1.0,True,0.7875,0.397223,0.2014404,0.5814162957583019,1.38223,0,0,4.0,,,,,,,,,,
A,coarse,pressure,1.5,True,0.7875,0.371924,0.18884548,0.5634084812442844,1.366,0,0,3.5,,,,,,,,,,
A,coarse,pressure,2.0,True,0.7875,0.357532,0.18164762,0.5623634776862093,1.34653,0,0,3.6,,,,,,,,,,
A,coarse,pressure,3.0,True,0.7875,0.342188,0.1740161,0.5672998090197626,1.31373,0,0,3.5,,,,,,,,,,
A,medium,probe,1.0,False,0.778125,0.468275,0.2368713,0.6326187754899978,1.39043,0,0,134.7,,,,,,,,,,
A,medium,probe,1.5,True,0.7875,0.523426,0.26426176,0.6737918816715474,1.40441,0,0,59.8,,,,,,,,,,
A,medium,probe,2.0,True,0.7875,0.485815,0.24540555,0.6522316733819966,1.3868,0,0,60.8,,,,,,,,,,
A,medium,probe,3.0,True,0.7875,0.443546,0.22416871,0.6314032464742857,1.35937,0,0,20.3,,,,,,,,,,
A,medium,pressure,1.0,False,0.778125,0.471482,0.23869753,0.6331974422070006,1.92017,0,0,109.7,,,,,,,,,,
A,medium,pressure,1.5,True,0.7875,0.522069,0.26357429,0.6734613358522169,1.40403,0,0,50.0,,,,,,,,,,
A,medium,pressure,2.0,True,0.7875,0.484762,0.24487153,0.6520216729676601,1.38656,0,0,36.1,,,,,,,,,,
A,medium,pressure,3.0,True,0.7875,0.441487,0.22323388,0.6215930097290735,1.35919,0,0,20.9,,,,,,,,,,
BC,coarse,,,True,,,,,,,,,,subsonic,0.001,0.0868938,0.08820817,0.01512608,15.1261,0.173399,0.176033,0.01519
BC,coarse,,,True,,,,,,,,,,subsonic,0.01,0.0868938,0.10195072,0.17327945,17.3279,0.173399,0.203574,0.174019
BC,coarse,,,True,,,,,,,,,,transonic,0.001,0.18914978,0.19597623,0.03609017,36.0902,0.372523,0.386032,0.036263
BC,coarse,,,True,,,,,,,,,,transonic,0.01,0.18914978,0.29755567,0.57312194,57.3122,0.372523,0.585639,0.572087
BC,medium,,,True,,,,,,,,,,subsonic,0.001,0.08898613,0.09098616,0.02247581,22.4758,0.177967,0.181975,0.022524
BC,medium,,,True,,,,,,,,,,subsonic,0.01,0.08898613,0.11376732,0.27848381,27.8484,0.177967,0.227636,0.279095
BC,medium,,,True,,,,,,,,,,transonic,0.001,0.26426176,0.29093859,0.10094851,100.9485,0.523426,0.575632,0.099739
BC,medium,,,False,,,,,,,,,,transonic,0.01,0.26426176,0.4219798,0.59682508,59.6825,0.523426,0.821323,0.569129
