regime,m_inf,level,h_wall,estimator,n_dof,converged,n_newton,res_at_state,gamma,cl_p,S_code,D_raw,feedback,amplification,wall_s
subsonic,0.5,coarse,0.02,probe,6106,True,2,4.201047960836841e-13,0.0868938,0.173399,0.06704467,1.0,-0.93295533,14.9154,1.9
subsonic,0.5,coarse,0.02,pressure,6106,True,2,4.2373357122586663e-13,0.08677807,0.173167,0.0705051,80.1472703,-0.9294949,2.0393,1.6
subsonic,0.5,medium,0.01,probe,21874,True,1,5.779053308525301e-11,0.08898613,0.177967,0.04544888,1.0,-0.95455112,22.0027,5.8
subsonic,0.5,medium,0.01,pressure,21874,True,1,5.132412761839079e-11,0.08882514,0.177644,0.04801096,154.53121617,-0.95198904,1.5174,5.9
subsonic,0.5,fine,0.005,probe,82356,True,1,6.336040864654981e-12,0.08910881,0.178181,0.03091801,1.0,-0.96908199,32.3436,21.8
subsonic,0.5,fine,0.005,pressure,82356,True,1,5.775583183120092e-12,0.08899124,0.177946,0.0327183,297.51809178,-0.9672817,1.1544,23.0
transonic,0.7875,coarse,0.02,probe,6106,True,23,3.7164791719872362e-06,0.18915898,0.372541,0.03115605,1.0,-0.96884395,32.0965,2.5
transonic,0.7875,coarse,0.02,pressure,6106,True,23,3.7018310787337518e-06,0.18885465,0.371941,0.03269331,75.49402557,-0.96730669,2.1454,2.6
transonic,0.7875,medium,0.01,probe,21874,False,80,3.296134203545633e-08,0.26426167,0.523426,0.01172787,1.0,-0.98827213,85.267,17.4
transonic,0.7875,medium,0.01,pressure,21874,False,80,4.261177045471437e-08,0.26357231,0.522065,0.01240374,142.73801742,-0.98759626,2.1429,17.6
transonic,0.7875,fine,0.005,probe,82356,False,80,4.3194503601317605e-06,0.36174357,0.715043,0.00287077,1.0,-0.99712923,348.3387,120.4
transonic,0.7875,fine,0.005,pressure,82356,False,80,3.6125275237837703e-06,0.36047287,0.712547,0.00303047,268.60755853,-0.99696953,3.408,151.4
