level,n_dof,m_inf,converged,clamped,usable,gamma,cl_p,x_shock,m_max,res_final,n_newton,wall_s
coarse,6106,0.72,True,False,True,0.12183263,0.242797,0.2874234964239226,1.13586,5.425385810378773e-11,6,2.5
coarse,6106,0.73,True,False,True,0.12619945,0.251342,0.3228816082714886,1.17037,4.3533955419397906e-13,4,0.2
coarse,6106,0.74,True,False,True,0.13145353,0.261545,0.35936524673192277,1.20562,7.862206993587744e-11,4,0.2
coarse,6106,0.75,True,False,True,0.13771943,0.273593,0.38711869904452934,1.23758,2.8778844391934034e-11,4,0.2
coarse,6106,0.76,True,False,True,0.14574048,0.288969,0.4263398639044877,1.2701,4.4239495989125156e-13,5,0.2
coarse,6106,0.77,True,False,True,0.15656295,0.30971,0.4675847354506538,1.30486,3.469907684182934e-11,5,0.2
coarse,6106,0.78,True,False,True,0.17226757,0.339917,0.5215573599706771,1.34016,2.4312265862468483e-11,7,0.3
coarse,6106,0.79,True,False,True,0.19654172,0.386898,0.5826852308701829,1.37352,2.644732466923862e-13,11,0.4
coarse,6106,0.8,True,False,True,0.23382646,0.458974,0.6580805927058455,1.40765,3.4792605461102836e-13,13,0.4
coarse,6106,0.81,True,False,True,0.29547838,0.577726,0.7412465907315899,1.445,6.444076728276069e-11,18,0.5
coarse,6106,0.82,True,False,True,0.36934894,0.718343,0.8373040179405037,1.47641,3.2162038147387273e-13,26,0.7
coarse,6106,0.83,True,False,True,0.40585275,0.785321,0.885998899385337,1.49345,4.2074627673793627e-13,13,0.4
coarse,6106,0.84,True,False,True,0.44249931,0.851622,0.9426741939855717,1.50706,3.6065255537480024e-13,14,0.4
coarse,6106,0.85,True,False,True,0.4365932,0.836301,0.963838495480513,1.5131,3.889971956459694e-13,10,0.3
coarse,6106,0.86,True,False,True,0.40217621,0.766891,0.9762120597314856,1.51266,4.930769142976008e-12,5,0.2
medium,21874,0.72,True,False,True,0.12678563,0.253351,0.2914974409704009,1.15396,1.9878324590346998e-13,11,8.7
medium,21874,0.73,True,False,True,0.13220422,0.264097,0.3309789875860038,1.1881,3.111504859394299e-11,12,1.3
medium,21874,0.74,True,False,True,0.13938992,0.278327,0.37339286962155205,1.22278,1.4095111273948291e-11,14,1.5
medium,21874,0.75,True,False,True,0.14921909,0.297735,0.4223748107908969,1.25625,2.2738905989651745e-13,16,1.7
medium,21874,0.76,True,False,True,0.16314015,0.325143,0.4735859216742107,1.29222,2.681234084934553e-13,25,2.4
medium,21874,0.77,True,False,True,0.18415498,0.366465,0.5335861630117918,1.32941,6.16712407819036e-11,42,4.2
medium,21874,0.78,True,False,True,0.21859347,0.433879,0.6022136293707293,1.49782,1.9493021680641468e-11,42,4.8
medium,21874,0.79,True,False,True,0.28879786,0.57141,0.7042139879860979,1.42266,2.4001077352274206e-13,45,4.9
medium,21874,0.8,False,False,False,0.54674285,1.06991,0.944374761593848,1.51878,5.407892088730575e-06,80,10.3
medium,21874,0.7925,True,False,True,0.32279848,0.637827,0.7433783994499048,1.44085,9.700806597211862e-11,62,6.5
medium,21874,0.795,False,False,False,0.36951453,0.728813,0.7924784545649453,1.45985,1.1376287856140259e-07,80,8.0
fine,82356,0.72,True,False,True,0.12788993,0.255662,0.2875267203010158,1.16583,6.663689312746426e-12,18,40.7
fine,82356,0.74,True,False,True,0.14207777,0.283926,0.38243363073586645,1.23669,4.544897275606577e-13,61,39.5
fine,82356,0.76,True,False,True,0.1709689,0.34131,0.4971492195898723,1.30431,1.520276779731139e-11,62,42.6
fine,82356,0.78,False,False,False,0.25459043,0.506741,0.6620395377863251,1.38425,4.790262546959428e-07,80,57.2
fine,82356,0.765,True,False,True,0.18306995,0.365295,0.528832466825827,1.32059,1.3679104094360987e-13,61,35.1
fine,82356,0.77,True,False,True,0.19898238,0.396804,0.5672433097864075,1.33914,1.8427558666273068e-13,70,43.4
fine,82356,0.775,False,False,False,0.22101601,0.440403,0.6083662534809113,1.36033,1.1039322557392844e-07,80,45.3
