level,n_dof,m_inf,converged,clamped,usable,gamma,cl_p,x_shock,m_max,res_final,n_newton,wall_s
medium,21874,0.72,True,False,True,0.12648244,0.252623,0.3147115511968202,1.13482,6.166021894738052e-12,10,8.7
medium,21874,0.73,True,False,True,0.13142625,0.262368,0.3533646092751322,1.16209,2.3464373258359597e-13,10,1.3
medium,21874,0.74,True,False,True,0.1376237,0.274551,0.39285964947463436,1.19083,5.6720175869431605e-11,11,1.4
medium,21874,0.75,True,False,True,0.14565329,0.290295,0.43383841067615997,1.22176,2.583082431143189e-13,16,1.9
medium,21874,0.76,True,False,True,0.15616935,0.310833,0.48102163454032304,1.25244,2.1910599665459532e-13,16,1.8
medium,21874,0.77,True,False,True,0.17054006,0.338828,0.5247880639377702,1.28399,1.9318094248115654e-13,25,2.5
medium,21874,0.78,True,False,True,0.19074951,0.378038,0.5727335547171832,1.31506,1.9372031930023113e-13,15,1.9
medium,21874,0.79,True,False,True,0.22058834,0.435955,0.640151169999092,1.34869,7.581570062019532e-13,23,2.5
medium,21874,0.8,True,False,True,0.26194666,0.515726,0.7097667301756538,1.38196,9.235331786187328e-13,25,3.0
medium,21874,0.81,True,False,True,0.30873385,0.605118,0.7801243915024306,1.41256,2.9998531075073594e-13,25,3.1
medium,21874,0.82,True,False,True,0.34227823,0.667566,0.8392354608834757,1.43826,1.9426796754775635e-11,19,2.6
medium,21874,0.83,True,False,True,0.36342901,0.705243,0.8818808369648243,1.45752,2.743706561381063e-13,19,2.3
medium,21874,0.84,True,False,True,0.37150532,0.717275,0.918686814114754,1.47301,2.393144322283922e-13,16,2.0
medium,21874,0.85,True,False,True,0.36691184,0.704742,0.9404865056682844,1.48498,2.6185621306177513e-13,11,1.7
medium,21874,0.86,True,False,True,0.35545626,0.679037,0.9602714930820481,1.49351,2.3757017694862777e-13,11,1.7
