level,upwind_c,probe,m_last,delta,m_inf,usable,converged,clamped,gamma,m_max,dm_max_jump,res_final,n_newton,note,wall_s
medium,1.5,P1_step,0.7925,0.0025,0.795,False,False,False,0.36951453,1.45985,0.019,1.1376287856140259e-07,80,,7.9
medium,1.5,P1_step,0.7925,0.001,0.7935,True,True,False,0.33954414,1.44749,0.00665,2.6865269844416836e-11,20,,2.0
medium,1.5,P1_step,0.7925,0.0005,0.793,True,True,False,0.33080437,1.44373,0.00288,1.955411777447782e-13,14,,1.3
medium,1.5,P1b_continue,0.7925,0.001,0.7945,True,True,False,0.35804012,1.45525,,2.2301433672989652e-13,26,,
medium,1.5,P1b_continue,0.7925,0.001,0.7955,True,True,False,0.382228,1.46472,,3.3460283108889226e-13,27,,
medium,1.5,P1b_continue,0.7925,0.001,0.7965,True,True,False,0.413443,1.47612,,5.848344113447474e-13,34,,
medium,1.5,P1b_continue,0.7925,0.001,0.7975,True,True,False,0.45699136,1.4915,,2.5618878773278455e-12,71,,
medium,1.5,P1b_continue,0.7925,0.001,0.7985,True,True,False,0.49911947,1.50482,,7.758467153165159e-13,41,,
medium,1.5,P1b_continue,0.7925,0.001,0.7995,True,True,False,0.5406041,1.5167,,3.7801880941751555e-13,34,,
medium,1.5,P1b_continue,0.7925,0.001,0.8005,True,True,False,0.56607637,1.524,,6.525459130591822e-11,15,,
medium,1.5,P1b_continue,0.7925,0.001,0.8015,True,True,False,0.57746893,1.52575,,6.618190054527629e-11,15,,
medium,1.5,P2_fixed_gamma,0.7925,0.0025,0.795,False,False,,0.32279848,nan,,1.2213586029975341e-08,,cap; x_shock=0.7533921481764319,9.9
fine,1.5,P1_step,0.77,0.0025,0.7725,False,False,False,0.20635985,1.34812,0.00899,5.123236874381541e-07,80,,44.2
fine,1.5,P1_step,0.77,0.001,0.771,True,True,False,0.20280116,1.34326,0.00413,1.2446008274857082e-13,19,,8.1
fine,1.5,P1_step,0.77,0.0005,0.7705,True,True,False,0.20086231,1.34118,0.00205,1.877841869774326e-13,13,,5.9
fine,1.5,P1b_continue,0.77,0.001,0.772,True,True,False,0.20691173,1.34722,,1.0798113518680437e-11,21,,
fine,1.5,P1b_continue,0.77,0.001,0.773,True,True,False,0.21127979,1.35147,,1.4904675119918878e-13,20,,
fine,1.5,P1b_continue,0.77,0.001,0.774,True,True,False,0.21597109,1.35581,,1.5812940020630498e-13,21,,
fine,1.5,P1b_continue,0.77,0.001,0.775,True,True,False,0.22101671,1.36033,,1.4671663457107544e-13,22,,
fine,1.5,P1b_continue,0.77,0.001,0.776,True,True,False,0.22647545,1.36489,,8.172240010497402e-12,22,,
fine,1.5,P1b_continue,0.77,0.001,0.777,True,True,False,0.23247184,1.36958,,9.48542425511256e-11,21,,
fine,1.5,P1b_continue,0.77,0.001,0.778,True,True,False,0.23904844,1.37427,,2.0994013926020699e-13,22,,
fine,1.5,P1b_continue,0.77,0.001,0.779,True,True,False,0.24640144,1.37923,,1.2895492143534546e-13,23,,
fine,1.5,P2_fixed_gamma,0.77,0.0025,0.7725,True,True,,0.19898238,nan,,2.1749881408506873e-12,,tol; x_shock=0.5777927776783979,21.7
fine,3.0,P1_step,0.75,0.0025,0.7525,True,True,False,0.15481491,1.26663,0.00822,1.591365126620407e-13,17,,7.8
fine,3.0,P1_step,0.75,0.001,0.751,True,True,False,0.15281328,1.26174,0.00333,1.7892497865253755e-11,12,,5.3
fine,3.0,P1_step,0.75,0.0005,0.7505,True,True,False,0.15217808,1.26009,0.00167,5.339673461536265e-11,6,,3.4
fine,3.0,P1b_continue,0.75,0.0025,0.755,True,True,False,0.15840163,1.27456,,1.3172970673367752e-13,20,,
fine,3.0,P1b_continue,0.75,0.0025,0.7575,True,True,False,0.16234448,1.28267,,1.3611731687597797e-13,9,,
fine,3.0,P1b_continue,0.75,0.0025,0.76,True,True,False,0.16673188,1.29072,,1.3935910683531153e-13,12,,
fine,3.0,P1b_continue,0.75,0.0025,0.7625,True,True,False,0.1715423,1.29874,,1.3503120873556328e-13,9,,
fine,3.0,P1b_continue,0.75,0.0025,0.765,True,True,False,0.17698096,1.30679,,1.3872841739189007e-13,16,,
fine,3.0,P1b_continue,0.75,0.0025,0.7675,True,True,False,0.18302558,1.31529,,1.0286742523716828e-11,24,,
fine,3.0,P1b_continue,0.75,0.0025,0.77,True,True,False,0.18991861,1.3241,,5.556010868645064e-13,25,,
fine,3.0,P1b_continue,0.75,0.0025,0.7725,True,True,False,0.19773954,1.33257,,3.8598659657463096e-11,10,,
fine,3.0,P2_fixed_gamma,0.75,0.0025,0.7525,False,False,,0.15155097,nan,,6.61420982676288e-08,,cap; x_shock=0.44352321877062517,50.0
