level,eps_m,m_inf,sigma_min,m1,n_shock_cells
fine,0.02,0.73,0.99539583,1.16932,194
fine,0.02,0.735,0.99384946,1.19415,206
fine,0.02,0.74,0.98674244,1.25233,221
fine,0.05,0.73,0.96524428,1.41401,198
fine,0.05,0.735,0.9841625,1.26956,216
fine,0.05,0.74,0.96857546,1.35543,216
fine,0.05,0.745,0.90267338,1.58154,224
fine,0.05,0.75,0.96098775,1.4344,240
fine,0.05,0.755,0.92612577,1.51142,245
fine,0.05,0.76,0.90916291,1.56151,239
fine,0.05,0.765,0.94559316,1.44733,251
fine,0.05,0.77,0.95417574,1.41576,252
fine,0.1,0.73,0.97915412,1.4313,182
fine,0.1,0.735,0.9939807,1.19832,188
fine,0.1,0.74,0.95815196,1.4122,207
fine,0.1,0.745,0.98372804,1.27953,212
