mesh,x,H,ds1,cf,theta
50x8,0.3200,2.62736346,0.00323353,0.00427971,0.00123071
50x8,0.3600,2.63425301,0.00345864,0.00399655,0.00131295
50x8,0.4000,2.63983712,0.00366969,0.00376321,0.00139012
50x8,0.4400,2.64447277,0.00386904,0.00356659,0.00146307
50x8,0.4800,2.64839393,0.00405844,0.00339796,0.00153241
50x8,0.5200,2.65176285,0.00423924,0.00325125,0.00159865
50x8,0.5600,2.65469386,0.00441253,0.00312209,0.00166216
50x8,0.6000,2.65727249,0.00457917,0.00300722,0.00172326
50x8,0.6400,2.65956094,0.00473986,0.00290419,0.00178220
50x8,0.6800,2.66160966,0.00489521,0.00281110,0.00183919
50x8,0.7200,2.66345482,0.00504572,0.00272645,0.00189443
50x8,0.7600,2.66512899,0.00519181,0.00264902,0.00194805
50x8,0.8000,2.66665388,0.00533385,0.00257785,0.00200020
50x8,0.8400,2.66805254,0.00547216,0.00251214,0.00205099
50x8,0.8800,2.66933755,0.00560702,0.00245122,0.00210053
50x8,0.9200,2.67052691,0.00573867,0.00239453,0.00214889
50x8,0.9600,2.67162722,0.00586734,0.00234161,0.00219617
50x8,1.0000,2.67265326,0.00599321,0.00229206,0.00224242
50x8,1.0400,2.67360799,0.00611647,0.00224553,0.00228772
50x8,1.0800,2.67450392,0.00623727,0.00220173,0.00233212
50x8,1.1200,2.67534162,0.00635575,0.00216040,0.00237568
50x8,1.1600,2.67613195,0.00647204,0.00212132,0.00241843
50x8,1.2000,2.67687391,0.00658625,0.00208429,0.00246043
50x8,1.2400,2.67757775,0.00669850,0.00204914,0.00250170
50x8,1.2800,2.67823926,0.00680889,0.00201571,0.00254230
50x8,1.3200,2.67887231,0.00691749,0.00198387,0.00258224
50x8,1.3600,2.67946517,0.00702440,0.00195349,0.00262157
50x8,1.4000,2.68003874,0.00712969,0.00192447,0.00266029
50x8,1.4400,2.68057377,0.00723344,0.00189671,0.00269847
50x8,1.4800,2.68109623,0.00733570,0.00187011,0.00273608
50x8,1.5200,2.68158115,0.00743656,0.00184461,0.00277320
50x8,1.5600,2.68206118,0.00753604,0.00182013,0.00280979
50x8,1.6000,2.68250133,0.00763423,0.00179659,0.00284594
50x8,1.6400,2.68294450,0.00773114,0.00177395,0.00288159
50x8,1.6800,2.68334764,0.00782687,0.00175214,0.00291683
50x8,1.7200,2.68375595,0.00792139,0.00173112,0.00295161
50x8,1.7600,2.68412797,0.00801485,0.00171084,0.00298602
50x8,1.8000,2.68450640,0.00810713,0.00169127,0.00301997
50x8,1.8400,2.68484946,0.00819853,0.00167232,0.00305363
50x8,1.8800,2.68520129,0.00828858,0.00165406,0.00308676
50x8,1.9200,2.68552159,0.00837831,0.00163627,0.00311981
50x8,1.9600,2.68584459,0.00846586,0.00161927,0.00315203
50x8,2.0000,2.68615256,0.00855472,0.00160237,0.00318475
50x8,2.0400,2.68643420,0.00863876,0.00158671,0.00321570
50x8,2.0800,2.68676152,0.00872849,0.00157032,0.00324870
100x16,0.2600,2.61337606,0.00286369,0.00484393,0.00109578
100x16,0.2800,2.61876608,0.00299315,0.00463015,0.00114296
100x16,0.3000,2.62344662,0.00311708,0.00444253,0.00118816
100x16,0.3200,2.62755678,0.00323613,0.00427614,0.00123161
100x16,0.3400,2.63120061,0.00335083,0.00412723,0.00127350
100x16,0.3600,2.63445769,0.00346164,0.00399295,0.00131399
100x16,0.3800,2.63738999,0.00356892,0.00387103,0.00135320
100x16,0.4000,2.64004656,0.00367300,0.00375969,0.00139126
100x16,0.4200,2.64246682,0.00377414,0.00365748,0.00142826
100x16,0.4400,2.64468277,0.00387258,0.00356321,0.00146429
100x16,0.4600,2.64672077,0.00396852,0.00347590,0.00149941
100x16,0.4800,2.64860270,0.00406215,0.00339474,0.00153370
100x16,0.5000,2.65034687,0.00415363,0.00331903,0.00156720
100x16,0.5200,2.65196879,0.00424310,0.00324819,0.00159998
100x16,0.5400,2.65348164,0.00433068,0.00318172,0.00163208
100x16,0.5600,2.65489674,0.00441650,0.00311918,0.00166353
100x16,0.5800,2.65622382,0.00450065,0.00306020,0.00169438
100x16,0.6000,2.65747135,0.00458322,0.00300446,0.00172466
100x16,0.6200,2.65864671,0.00466431,0.00295167,0.00175439
100x16,0.6400,2.65975636,0.00474399,0.00290158,0.00178362
100x16,0.6600,2.66080601,0.00482233,0.00285396,0.00181236
100x16,0.6800,2.66180069,0.00489940,0.00280862,0.00184063
100x16,0.7000,2.66274486,0.00497525,0.00276538,0.00186847
100x16,0.7200,2.66364253,0.00504995,0.00272408,0.00189588
100x16,0.7400,2.66449724,0.00512354,0.00268459,0.00192289
100x16,0.7600,2.66531221,0.00519608,0.00264677,0.00194952
100x16,0.7800,2.66609030,0.00526760,0.00261051,0.00197578
100x16,0.8000,2.66683413,0.00533814,0.00257570,0.00200168
100x16,0.8200,2.66754604,0.00540776,0.00254226,0.00202724
100x16,0.8400,2.66822818,0.00547647,0.00251009,0.00205248
100x16,0.8600,2.66888247,0.00554433,0.00247911,0.00207740
100x16,0.8800,2.66951072,0.00561135,0.00244926,0.00210201
100x16,0.9000,2.67011452,0.00567757,0.00242046,0.00212634
100x16,0.9200,2.67069538,0.00574301,0.00239266,0.00215038
100x16,0.9400,2.67125464,0.00580771,0.00236579,0.00217415
100x16,0.9600,2.67179358,0.00587168,0.00233982,0.00219766
100x16,0.9800,2.67231333,0.00593496,0.00231468,0.00222091
100x16,1.0000,2.67281499,0.00599756,0.00229034,0.00224391
100x16,1.0200,2.67329951,0.00605950,0.00226675,0.00226667
100x16,1.0400,2.67376784,0.00612081,0.00224388,0.00228921
100x16,1.0600,2.67422080,0.00618150,0.00222169,0.00231152
100x16,1.0800,2.67465921,0.00624160,0.00220015,0.00233361
100x16,1.1000,2.67508376,0.00630111,0.00217922,0.00235548
100x16,1.1200,2.67549519,0.00636006,0.00215888,0.00237715
100x16,1.1400,2.67589408,0.00641847,0.00213911,0.00239863
100x16,1.1600,2.67628108,0.00647634,0.00211986,0.00241990
100x16,1.1800,2.67665668,0.00653369,0.00210113,0.00244099
100x16,1.2000,2.67702150,0.00659053,0.00208289,0.00246189
100x16,1.2200,2.67737590,0.00664689,0.00206512,0.00248261
100x16,1.2400,2.67772050,0.00670276,0.00204779,0.00250316
100x16,1.2600,2.67805554,0.00675816,0.00203090,0.00252353
100x16,1.2800,2.67838165,0.00681311,0.00201441,0.00254374
100x16,1.3000,2.67869897,0.00686762,0.00199833,0.00256379
100x16,1.3200,2.67900812,0.00692169,0.00198262,0.00258368
100x16,1.3400,2.67930914,0.00697533,0.00196728,0.00260341
100x16,1.3600,2.67960272,0.00702856,0.00195229,0.00262299
100x16,1.3800,2.67988870,0.00708139,0.00193764,0.00264242
100x16,1.4000,2.68016794,0.00713382,0.00192332,0.00266171
100x16,1.4200,2.68044004,0.00718586,0.00190931,0.00268085
100x16,1.4400,2.68070602,0.00723752,0.00189560,0.00269986
100x16,1.4600,2.68096526,0.00728881,0.00188218,0.00271873
100x16,1.4800,2.68121898,0.00733974,0.00186905,0.00273746
100x16,1.5000,2.68146626,0.00739032,0.00185619,0.00275607
100x16,1.5200,2.68170862,0.00744054,0.00184359,0.00277455
100x16,1.5400,2.68194478,0.00749042,0.00183124,0.00279291
100x16,1.5600,2.68217656,0.00753997,0.00181914,0.00281114
100x16,1.5800,2.68240238,0.00758920,0.00180728,0.00282925
100x16,1.6000,2.68262429,0.00763810,0.00179565,0.00284725
100x16,1.6200,2.68284043,0.00768668,0.00178424,0.00286513
100x16,1.6400,2.68305317,0.00773496,0.00177304,0.00288289
100x16,1.6600,2.68326026,0.00778293,0.00176206,0.00290055
100x16,1.6800,2.68346436,0.00783060,0.00175127,0.00291809
100x16,1.7000,2.68366305,0.00787798,0.00174069,0.00293553
100x16,1.7200,2.68385903,0.00792508,0.00173029,0.00295287
100x16,1.7400,2.68404976,0.00797189,0.00172008,0.00297010
100x16,1.7600,2.68423831,0.00801842,0.00171005,0.00298722
100x16,1.7800,2.68442130,0.00806469,0.00170019,0.00300426
100x16,1.8000,2.68460315,0.00811068,0.00169050,0.00302118
100x16,1.8200,2.68477857,0.00815641,0.00168098,0.00303802
100x16,1.8400,2.68495442,0.00820188,0.00167161,0.00305476
100x16,1.8600,2.68512235,0.00824711,0.00166240,0.00307141
100x16,1.8800,2.68529291,0.00829206,0.00165334,0.00308795
100x16,1.9000,2.68545351,0.00833680,0.00164443,0.00310443
100x16,1.9200,2.68561916,0.00838125,0.00163567,0.00312079
100x16,1.9400,2.68577288,0.00842553,0.00162703,0.00313710
100x16,1.9600,2.68593390,0.00846948,0.00161855,0.00315327
100x16,1.9800,2.68608097,0.00851334,0.00161017,0.00316943
100x16,2.0000,2.68623765,0.00855675,0.00160197,0.00318540
100x16,2.0200,2.68637894,0.00860028,0.00159382,0.00320144
100x16,2.0400,2.68652997,0.00864308,0.00158589,0.00321719
100x16,2.0600,2.68666847,0.00868640,0.00157795,0.00323315
100x16,2.0800,2.68681043,0.00872842,0.00157032,0.00324862
100x16,2.1000,2.68695135,0.00877185,0.00156251,0.00326461
100x16,2.1200,2.68707687,0.00881266,0.00155524,0.00327965
100x16,2.1400,2.68723272,0.00885681,0.00154746,0.00329589
200x32,0.2300,2.60357393,0.00265778,0.00522805,0.00102082
200x32,0.2400,2.60714764,0.00272852,0.00508935,0.00104655
200x32,0.2500,2.61042878,0.00279741,0.00496121,0.00107163
200x32,0.2600,2.61345411,0.00286457,0.00484237,0.00109609
200x32,0.2700,2.61625428,0.00293014,0.00473174,0.00111998
200x32,0.2800,2.61885511,0.00299422,0.00462841,0.00114333
200x32,0.2900,2.62127850,0.00305692,0.00453163,0.00116619
200x32,0.3000,2.62354313,0.00311831,0.00444071,0.00118859
200x32,0.3100,2.62566512,0.00317847,0.00435509,0.00121054
200x32,0.3200,2.62765836,0.00323749,0.00427427,0.00123208
200x32,0.3300,2.62953499,0.00329541,0.00419781,0.00125323
200x32,0.3400,2.63130559,0.00335230,0.00412535,0.00127401
200x32,0.3500,2.63297948,0.00340822,0.00405653,0.00129443
200x32,0.3600,2.63456487,0.00346321,0.00399107,0.00131453
200x32,0.3700,2.63606904,0.00351731,0.00392870,0.00133430
200x32,0.3800,2.63749849,0.00357057,0.00386918,0.00135377
