k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,cl_p,cl_kj,cd_p
0,,,,0.0,,,,0.2625148505068892,0.26852960774010975,0.01818160339254931
1,0.002109532382713601,inf,0,0.005868948067589252,100,False,4.5259329187962494e-06,0.26154137597308913,0.2678894553996971,0.018799006589818774
2,0.006295553515137355,0.6681694944197765,2,0.12798353290682152,100,False,3.7060893929379836e-06,0.25497655504446237,0.261428212551159,0.018144720739002564
3,0.009115705130103768,0.6122066134735594,0,0.2505510773641664,100,False,3.235741775230894e-06,0.24800266904961768,0.25451518791945843,0.017524994542488532
4,0.008643748448284836,0.2071992482522059,1,0.25008635873152896,100,False,3.759182885629849e-06,0.248139388603348,0.25469421950642096,0.017469365770221353
5,0.01284123105219548,0.32687540523562153,1,0.3228953133534198,100,False,3.665137569735154e-06,0.24392424729481657,0.25052738389931,0.01710234809134024
6,0.012457936235253078,0.09495450477199857,1,0.32981151428977384,100,False,3.3745397527651484e-06,0.24513756045473403,0.25175293138581434,0.017143366298415556
7,0.012435782567158406,0.38513249360999746,3,0.3225254226087233,100,False,3.7958615986896976e-06,0.24879454163003042,0.2554338265065192,0.01726902893923688
8,0.012402817351729314,0.4815137131812685,5,0.18149887283714433,100,False,3.914617121469576e-06,0.2571459756489657,0.26385101481784823,0.01767094932920317
9,0.012995786580586659,0.5549831549527187,6,0.23641010150168562,100,False,5.274484139710229e-06,0.25876329490424904,0.2655244216062173,0.017664489603547603
10,0.01694886757822799,0.24689466612125244,9,0.28852828272476166,100,False,5.367922430426302e-06,0.25896036150347235,0.2657549078720261,0.017621376544292095
