iter,V0_flag_off,V1_te_extrapolate
0,3.153841821141155e-06,9.821462176096851
1,3.153841821141155e-06,7.36609663207264
2,3.1537174199817884e-06,6.44533455306356
3,3.1537174199817884e-06,6.344626200671939
4,3.1537360965535344e-06,6.319842504575547
5,3.1536668832886974e-06,4.73988187843166
6,3.1536668832886974e-06,4.721366714844038
7,3.1536807556645746e-06,4.702923876114184
8,3.15365464714145e-06,4.702923876114184
9,3.15365464714145e-06,4.702923876114184
10,3.1536659557977854e-06,4.702923876114184
11,3.1536659557977854e-06,4.702923876114184
12,3.1536659557977854e-06,4.702923876114184
13,3.1536659557977854e-06,4.702923876114184
14,3.1536659557977854e-06,4.702923876114184
15,3.1536659557977854e-06,4.702923876114184
16,3.1536659557977854e-06,4.702923876114184
17,3.1536659557977854e-06,4.702923876114184
18,3.1536659557977854e-06,
19,3.1536659557977854e-06,
20,3.1536659557977854e-06,
