node,x_c,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
0,1.0,-1.8187671479277342e-06,4.2777817253596436e-07,-2.4023925887297217e-06,4.359201194658282e-07,-2.7209812961211117e-09,9.655236332370594e-18,2.4023925887297217e-06
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9802072513029619,-0.00018743901503307016,-4.209186583727753e-05,5.9426068002729895e-05,-8.984099741770952e-05,1.1296031749595965e-05,2.6923216354608877e-17,0.00018743901503307016
3,0.9604046244096258,0.00012135319764202315,3.7292902660723126e-05,-4.9913457462006625e-05,0.00030011952291251944,-1.3153235544195616e-05,-3.526045204439727e-17,0.00030011952291251944
4,0.9405927113958874,-0.00014109657334780606,2.1963036416135735e-05,3.557850444646399e-05,-8.878354659316727e-05,-2.664747592967267e-07,-1.7291378987003002e-17,0.00014109657334780606
5,0.9207720693850489,1.538162551575104e-05,-1.1468645617678621e-05,-0.0007627606611850649,2.8579999503494115e-05,-1.5506943916446267e-07,-9.020776079875535e-18,0.0007627606611850649
6,0.9009431725695665,0.0011205489677831942,3.0129011684611702e-05,-0.004258878804959264,0.004451005938110487,1.6842719220703376e-07,-1.4779431641569455e-17,0.004451005938110487
7,0.8811064582899526,-0.001581343218970804,-0.00021839942197614764,0.004993904375618132,-0.010428947827037774,-1.8264989845296962e-06,-8.939997331473606e-18,0.010428947827037774
8,0.8612623113835848,-1.9315997532736183e-05,-2.6921891956558813e-05,-1.9983967582985026e-05,-2.5473297377496798e-05,-7.638320961011458e-07,2.824570891589531e-19,2.6921891956558813e-05
9,0.8414110728930805,-3.0506869114500118e-05,8.161762710069867e-06,-3.714366099486652e-05,7.689259883486578e-06,-2.565399333042178e-07,-6.940874809410943e-19,3.714366099486652e-05
10,0.8215530259075603,-3.6261242869250177e-06,6.439136658295488e-07,-7.143409221289885e-06,5.131487583802865e-07,-5.271533237379322e-08,-8.492803232885638e-20,7.143409221289885e-06
11,0.8016884366173158,-3.4693803218155676e-06,5.680102433681639e-08,-6.093863709221947e-06,2.3746959211613232e-07,-1.991319792332278e-08,-2.30196504526894e-20,6.093863709221947e-06
12,0.7818175271422606,-3.012175287050025e-07,4.0454734600493266e-07,-5.469269515704215e-07,3.717056361608176e-07,-1.08278508682089e-08,-5.118173978553878e-21,5.469269515704215e-07
13,0.761940465772245,-5.104351552608544e-07,5.645858656424292e-08,-9.462203445566582e-07,7.990547798192089e-08,-5.530424665459363e-09,-2.1871185702347266e-20,9.462203445566582e-07
14,0.7420574174317601,-3.266745429995426e-07,1.8816541862093833e-08,-5.804974871003015e-07,3.602530064343345e-08,-3.350122150686381e-09,-1.942370691816802e-21,5.804974871003015e-07
15,0.7221684901795281,-3.342599833570589e-07,1.2698058739997918e-08,-5.983154847256434e-07,3.1072452755145305e-08,-2.612186893040205e-09,-2.7173132630465383e-21,5.983154847256434e-07
16,0.7022737788555108,-3.784159747355564e-07,8.593059298577399e-09,-6.905622674228561e-07,2.9141336253807358e-08,-2.432898752123901e-09,-9.04216912278772e-21,6.905622674228561e-07
17,0.6823733583783234,-3.235123367658301e-07,-2.5983537148266994e-09,-5.875529188552511e-07,1.7866544114225375e-08,-1.7625448279668502e-09,-6.066638385000953e-21,5.875529188552511e-07
18,0.6624672572574035,-3.1733281681024217e-07,7.619961880515672e-09,-5.798120786742155e-07,2.8412388370883098e-08,-1.4922753604549822e-09,-8.01192925096373e-21,5.798120786742155e-07
19,0.642555514474314,-3.2003715597009837e-07,1.0329808488285687e-08,-5.890409857668417e-07,3.030848433104195e-08,-1.2829148107526587e-09,-1.1099224378360754e-20,5.890409857668417e-07
20,0.622638138460719,-3.0473877488284287e-07,7.2789285054702055e-09,-5.613167375890483e-07,2.6844811779323813e-08,-9.276568006245194e-10,-1.2626067677947167e-20,5.613167375890483e-07
21,0.6027151162461671,-3.005819458098793e-07,3.3604718506547836e-09,-5.553282041270446e-07,2.0524351986494528e-08,-6.450463819763348e-10,-1.5678337591644275e-20,5.553282041270446e-07
22,0.5827864427584049,-2.960998243083028e-07,3.211192492007458e-10,-5.489421135710894e-07,1.7495817605897548e-08,-3.7680704645107687e-10,-1.9357765136284448e-20,5.489421135710894e-07
23,0.5628521106635334,-2.87278495490352e-07,2.0302173691419764e-10,-5.333154312204295e-07,1.8156740549041593e-08,-6.673633602562872e-11,-2.3256446219919302e-20,5.333154312204295e-07
24,0.5429121010905046,-2.818018772441982e-07,4.207357671726445e-09,-5.242507466306095e-07,2.3458914020211044e-08,2.0322610448679652e-10,-2.803461797086115e-20,5.242507466306095e-07
25,0.5229664047780744,-2.7843772885099633e-07,5.331688764283032e-09,-5.19104289061326e-07,2.3662907951080997e-08,4.880369908204394e-10,-3.388106921882788e-20,5.19104289061326e-07
26,0.503015042725527,-2.7369037047041725e-07,4.0117701548129985e-09,-5.111909912271064e-07,2.1983373649562077e-08,7.890549954357516e-10,-4.0279275361934565e-20,5.111909912271064e-07
27,0.48305805202645946,-2.6982710007606254e-07,2.4309498017649587e-09,-5.049154074657402e-07,1.9805691944187937e-08,1.0942560533483588e-09,-4.6778438025532134e-20,5.049154074657402e-07
28,0.46309549652479826,-2.6525633782722247e-07,1.612063942166932e-09,-4.97552721768854e-07,1.9110046412250024e-08,1.4086003963738065e-09,-5.2937221854792294e-20,4.97552721768854e-07
29,0.4431274882232338,-2.607437848032557e-07,1.6828782792868112e-09,-4.903943416220475e-07,1.9350927079497363e-08,1.7315066967121714e-09,-5.73112833337785e-20,4.903943416220475e-07
30,0.42315421185282287,-2.555395854746538e-07,1.1296619167516827e-09,-4.82290042493327e-07,1.9217301570492055e-08,2.0635543173718774e-09,-5.659558270475685e-20,4.82290042493327e-07
31,0.40317591846124584,-2.508051603354534e-07,1.940053885114883e-09,-4.7553780437611795e-07,2.0562175157004275e-08,2.3918021580937756e-09,-4.7055893641319845e-20,4.7553780437611795e-07
