section,name_or_node,x_c,side,regime,region,energy_fraction
variable,delta,,,,,7.10547428e-09
variable,A,,,,,4.27318871e-01
variable,B,,,,,1.42265258e-02
variable,Psi,,,,,5.58454593e-01
variable,Ct1,,,,,2.89404738e-09
variable,Ct2,,,,,7.01200285e-20
node,0,1.000000,-1,turbulent,te_band,3.78512416e-03
node,1,0.000000,-1,inflow_pin,le_inflow,3.08216038e-33
node,2,0.980207,1,turbulent,te_band,1.55771340e-02
node,3,0.960405,1,turbulent,te_band,4.02920310e-04
node,4,0.940593,1,turbulent,te_band,1.74303319e-04
node,5,0.920772,1,turbulent,te_band,2.61677213e-04
node,6,0.900943,1,turbulent,te_band,4.37772096e-04
node,7,0.881106,1,turbulent,mid,3.86248832e-04
node,8,0.861262,1,turbulent,mid,3.76202717e-04
node,9,0.841411,1,turbulent,mid,4.82032683e-04
node,10,0.821553,1,turbulent,mid,5.21124186e-04
node,11,0.801688,1,turbulent,mid,5.59698947e-04
node,12,0.781818,1,turbulent,mid,6.34820754e-04
node,13,0.761940,1,turbulent,mid,7.02669019e-04
node,14,0.742057,1,turbulent,mid,7.73627786e-04
node,15,0.722168,1,turbulent,mid,8.61054912e-04
node,16,0.702274,1,turbulent,mid,9.53192605e-04
node,17,0.682373,1,turbulent,mid,1.05571198e-03
node,18,0.662467,1,turbulent,mid,1.16698824e-03
node,19,0.642556,1,turbulent,mid,1.28422300e-03
node,20,0.622638,1,turbulent,mid,1.40957073e-03
node,21,0.602715,1,turbulent,mid,1.53801124e-03
node,22,0.582786,1,turbulent,mid,1.67197988e-03
node,23,0.562852,1,turbulent,mid,1.81238966e-03
node,24,0.542912,1,turbulent,mid,1.95674603e-03
node,25,0.522966,1,turbulent,mid,2.10210974e-03
node,26,0.503015,1,turbulent,mid,2.23886822e-03
node,27,0.483058,1,turbulent,mid,2.36216416e-03
node,28,0.463095,1,turbulent,mid,2.47463201e-03
node,29,0.443127,1,turbulent,mid,2.55787534e-03
node,30,0.423154,1,turbulent,mid,2.59741775e-03
node,31,0.403176,1,turbulent,mid,2.60221071e-03
node,32,0.383193,1,turbulent,mid,2.55296189e-03
node,33,0.363206,1,turbulent,mid,2.42177985e-03
node,34,0.343215,1,turbulent,mid,2.29907235e-03
node,35,0.323222,1,turbulent,mid,2.17798336e-03
node,36,0.303227,1,turbulent,mid,2.10832200e-03
node,37,0.283231,1,turbulent,mid,2.38856775e-03
node,38,0.263237,1,turbulent,mid,3.01283039e-03
node,39,0.243247,1,turbulent,mid,5.08465903e-03
node,40,0.223264,1,turbulent,mid,2.25967933e-02
node,41,0.203292,1,turbulent,mid,3.99237576e-02
node,42,0.183336,1,turbulent,mid,6.87302117e-04
node,43,0.163403,1,turbulent,mid,5.21820139e-02
node,44,0.143504,1,turbulent,mid,9.19970721e-05
node,45,0.123653,1,turbulent,mid,4.97235953e-02
node,46,0.103870,1,turbulent,mid,8.74197413e-05
node,47,0.084192,1,turbulent,mid,1.97433915e-06
node,48,0.064677,1,turbulent,mid,4.51886952e-07
node,49,0.045445,1,laminar,le_band,1.18271566e-06
node,50,0.026780,1,laminar,le_band,8.48344537e-07
node,51,0.009658,1,inflow_pin,le_inflow,2.76308064e-32
node,52,0.009658,-1,inflow_pin,le_inflow,3.30538676e-33
node,53,0.026780,-1,laminar,le_band,1.40744882e-04
node,54,0.045445,-1,laminar,le_band,5.68189966e-05
node,55,0.064677,-1,turbulent,mid,3.61408864e-05
node,56,0.084192,-1,turbulent,mid,1.49340705e-04
node,57,0.103870,-1,turbulent,mid,3.79416974e-05
node,58,0.123653,-1,turbulent,mid,9.71622427e-03
node,59,0.143504,-1,turbulent,mid,5.27427556e-02
node,60,0.163403,-1,turbulent,mid,1.90872854e-02
node,61,0.183336,-1,turbulent,mid,4.93103445e-02
node,62,0.203292,-1,turbulent,mid,5.02602594e-02
node,63,0.223264,-1,turbulent,mid,2.11576022e-02
node,64,0.243247,-1,turbulent,mid,6.25093688e-03
node,65,0.263237,-1,turbulent,mid,2.72671736e-03
node,66,0.283231,-1,turbulent,mid,2.58760875e-03
node,67,0.303227,-1,turbulent,mid,2.33965124e-03
node,68,0.323222,-1,turbulent,mid,2.23099901e-03
node,69,0.343215,-1,turbulent,mid,2.24770653e-03
node,70,0.363206,-1,turbulent,mid,2.29034772e-03
node,71,0.383193,-1,turbulent,mid,2.34112519e-03
node,72,0.403176,-1,turbulent,mid,2.38660618e-03
node,73,0.423154,-1,turbulent,mid,2.43199963e-03
node,74,0.443127,-1,turbulent,mid,2.46990877e-03
node,75,0.463095,-1,turbulent,mid,2.48235311e-03
node,76,0.483058,-1,turbulent,mid,2.46408099e-03
node,77,0.503015,-1,turbulent,mid,2.42967135e-03
node,78,0.522966,-1,turbulent,mid,2.37570795e-03
node,79,0.542912,-1,turbulent,mid,2.31511546e-03
node,80,0.562852,-1,turbulent,mid,2.23637932e-03
node,81,0.582786,-1,turbulent,mid,2.16052136e-03
node,82,0.602715,-1,turbulent,mid,2.08195132e-03
node,83,0.622638,-1,turbulent,mid,2.00615969e-03
node,84,0.642556,-1,turbulent,mid,1.95736559e-03
node,85,0.662467,-1,turbulent,mid,1.92727061e-03
node,86,0.682373,-1,turbulent,mid,1.92063828e-03
node,87,0.702274,-1,turbulent,mid,1.95600840e-03
node,88,0.722168,-1,turbulent,mid,2.02592004e-03
node,89,0.742057,-1,turbulent,mid,2.13223760e-03
node,90,0.761940,-1,turbulent,mid,2.26999041e-03
node,91,0.781818,-1,turbulent,mid,2.44202288e-03
node,92,0.801688,-1,turbulent,mid,2.64562059e-03
node,93,0.821553,-1,turbulent,mid,2.83768303e-03
node,94,0.841411,-1,turbulent,mid,3.05591648e-03
node,95,0.861262,-1,turbulent,mid,3.29166977e-03
node,96,0.881106,-1,turbulent,mid,3.37221221e-03
node,97,0.900943,-1,turbulent,te_band,3.49741082e-03
node,98,0.920772,-1,turbulent,te_band,3.72835057e-03
node,99,0.940593,-1,turbulent,te_band,3.61151998e-03
node,100,0.960405,-1,turbulent,te_band,4.91156375e-03
node,101,0.980207,-1,turbulent,te_band,3.90103571e-03
node,102,1.000000,-1,turbulent,te_band,4.98550068e-02
node,103,0.000000,-1,inflow_pin,le_inflow,1.13577301e-32
node,104,0.980207,1,turbulent,te_band,3.04709812e-03
node,105,0.960405,1,turbulent,te_band,4.12260484e-03
node,106,0.940593,1,turbulent,te_band,3.77909364e-03
node,107,0.920772,1,turbulent,te_band,1.85806065e-03
node,108,0.900943,1,turbulent,te_band,1.95632285e-03
node,109,0.881106,1,turbulent,mid,1.90040337e-03
node,110,0.861262,1,turbulent,mid,2.11306639e-03
node,111,0.841411,1,turbulent,mid,2.15924079e-03
node,112,0.821553,1,turbulent,mid,2.09768303e-03
node,113,0.801688,1,turbulent,mid,2.22998854e-03
node,114,0.781818,1,turbulent,mid,2.25399026e-03
node,115,0.761940,1,turbulent,mid,2.21596398e-03
node,116,0.742057,1,turbulent,mid,2.24778089e-03
node,117,0.722168,1,turbulent,mid,2.22683300e-03
node,118,0.702274,1,turbulent,mid,2.17635966e-03
node,119,0.682373,1,turbulent,mid,2.13796138e-03
node,120,0.662467,1,turbulent,mid,2.07962100e-03
node,121,0.642556,1,turbulent,mid,2.01317772e-03
node,122,0.622638,1,turbulent,mid,1.94969137e-03
node,123,0.602715,1,turbulent,mid,1.88607074e-03
node,124,0.582786,1,turbulent,mid,1.82349265e-03
node,125,0.562852,1,turbulent,mid,1.77471362e-03
node,126,0.542912,1,turbulent,mid,1.74190823e-03
node,127,0.522966,1,turbulent,mid,1.72888933e-03
node,128,0.503015,1,turbulent,mid,1.74076416e-03
node,129,0.483058,1,turbulent,mid,1.78236753e-03
node,130,0.463095,1,turbulent,mid,1.85194014e-03
node,131,0.443127,1,turbulent,mid,1.95085260e-03
node,132,0.423154,1,turbulent,mid,2.07927976e-03
node,133,0.403176,1,turbulent,mid,2.23860698e-03
node,134,0.383193,1,turbulent,mid,2.41005624e-03
node,135,0.363206,1,turbulent,mid,2.57771861e-03
node,136,0.343215,1,turbulent,mid,2.78006874e-03
node,137,0.323222,1,turbulent,mid,2.93422337e-03
node,138,0.303227,1,turbulent,mid,3.04791647e-03
node,139,0.283231,1,turbulent,mid,3.42097035e-03
node,140,0.263237,1,turbulent,mid,3.66237880e-03
