idx,sigma,sigma_rel_max
0,1.0000002177178708e+00,1.0000000000000000e+00
1,1.0000000481753617e+00,9.9999983045752772e-01
2,1.0000000155311406e+00,9.9999979781331372e-01
3,1.0000000034191487e+00,9.9999978570132453e-01
4,1.0000000002999383e+00,9.9999978258211475e-01
5,1.0000000002332052e+00,9.9999978251538169e-01
6,1.0000000000423741e+00,9.9999978232455067e-01
7,1.0000000000409373e+00,9.9999978232311382e-01
8,1.0000000000376499e+00,9.9999978231982645e-01
9,1.0000000000298925e+00,9.9999978231206910e-01
10,1.0000000000059832e+00,9.9999978228815978e-01
11,1.0000000000053129e+00,9.9999978228748942e-01
12,1.0000000000000864e+00,9.9999978228226294e-01
13,1.0000000000000142e+00,9.9999978228219077e-01
14,1.0000000000000129e+00,9.9999978228218944e-01
15,1.0000000000000051e+00,9.9999978228218167e-01
16,1.0000000000000029e+00,9.9999978228217945e-01
17,1.0000000000000013e+00,9.9999978228217790e-01
18,1.0000000000000011e+00,9.9999978228217767e-01
19,1.0000000000000009e+00,9.9999978228217745e-01
20,1.0000000000000007e+00,9.9999978228217723e-01
21,1.0000000000000007e+00,9.9999978228217723e-01
22,1.0000000000000007e+00,9.9999978228217723e-01
23,1.0000000000000004e+00,9.9999978228217701e-01
24,1.0000000000000004e+00,9.9999978228217701e-01
25,1.0000000000000004e+00,9.9999978228217701e-01
26,1.0000000000000004e+00,9.9999978228217701e-01
27,1.0000000000000004e+00,9.9999978228217701e-01
28,1.0000000000000004e+00,9.9999978228217701e-01
29,1.0000000000000004e+00,9.9999978228217701e-01
30,1.0000000000000004e+00,9.9999978228217701e-01
31,1.0000000000000004e+00,9.9999978228217701e-01
32,1.0000000000000004e+00,9.9999978228217701e-01
33,1.0000000000000004e+00,9.9999978228217701e-01
34,1.0000000000000004e+00,9.9999978228217701e-01
35,1.0000000000000004e+00,9.9999978228217701e-01
36,1.0000000000000004e+00,9.9999978228217701e-01
37,1.0000000000000004e+00,9.9999978228217701e-01
38,1.0000000000000004e+00,9.9999978228217701e-01
39,1.0000000000000002e+00,9.9999978228217679e-01
40,1.0000000000000002e+00,9.9999978228217679e-01
41,1.0000000000000002e+00,9.9999978228217679e-01
42,1.0000000000000002e+00,9.9999978228217679e-01
43,1.0000000000000002e+00,9.9999978228217679e-01
44,1.0000000000000002e+00,9.9999978228217679e-01
45,1.0000000000000002e+00,9.9999978228217679e-01
46,1.0000000000000002e+00,9.9999978228217679e-01
47,1.0000000000000002e+00,9.9999978228217679e-01
48,1.0000000000000002e+00,9.9999978228217679e-01
49,1.0000000000000002e+00,9.9999978228217679e-01
50,1.0000000000000002e+00,9.9999978228217679e-01
51,1.0000000000000002e+00,9.9999978228217679e-01
52,1.0000000000000002e+00,9.9999978228217679e-01
53,1.0000000000000002e+00,9.9999978228217679e-01
54,1.0000000000000002e+00,9.9999978228217679e-01
55,1.0000000000000002e+00,9.9999978228217679e-01
56,1.0000000000000002e+00,9.9999978228217679e-01
57,1.0000000000000002e+00,9.9999978228217679e-01
58,1.0000000000000002e+00,9.9999978228217679e-01
59,1.0000000000000000e+00,9.9999978228217656e-01
60,1.0000000000000000e+00,9.9999978228217656e-01
61,1.0000000000000000e+00,9.9999978228217656e-01
62,1.0000000000000000e+00,9.9999978228217656e-01
63,1.0000000000000000e+00,9.9999978228217656e-01
64,1.0000000000000000e+00,9.9999978228217656e-01
65,1.0000000000000000e+00,9.9999978228217656e-01
66,1.0000000000000000e+00,9.9999978228217656e-01
67,1.0000000000000000e+00,9.9999978228217656e-01
68,1.0000000000000000e+00,9.9999978228217656e-01
69,1.0000000000000000e+00,9.9999978228217656e-01
70,1.0000000000000000e+00,9.9999978228217656e-01
71,1.0000000000000000e+00,9.9999978228217656e-01
72,1.0000000000000000e+00,9.9999978228217656e-01
73,1.0000000000000000e+00,9.9999978228217656e-01
74,1.0000000000000000e+00,9.9999978228217656e-01
75,1.0000000000000000e+00,9.9999978228217656e-01
76,1.0000000000000000e+00,9.9999978228217656e-01
77,1.0000000000000000e+00,9.9999978228217656e-01
78,1.0000000000000000e+00,9.9999978228217656e-01
79,1.0000000000000000e+00,9.9999978228217656e-01
80,1.0000000000000000e+00,9.9999978228217656e-01
81,1.0000000000000000e+00,9.9999978228217656e-01
82,9.9999999999999978e-01,9.9999978228217634e-01
83,9.9999999999999978e-01,9.9999978228217634e-01
84,9.9999999999999978e-01,9.9999978228217634e-01
85,9.9999999999999978e-01,9.9999978228217634e-01
86,9.9999999999999978e-01,9.9999978228217634e-01
87,9.9999999999999978e-01,9.9999978228217634e-01
