question,states,key_result,artifacts,verdict
Q1,s1,smax=1.0000e+00 smin=7.5901e-12 cond=1.317e+11; near-null (<1e-6/1e-8/1e-10*smax): 500/136/1 of 1236; top gaps: gap@51->52=2.98e+01; gap@1234->1235=1.46e+01; gap@1231->1232=1.89e+00,spectrum_s1.csv,RECORDED
Q1,s2,smax=1.0000e+00 smin=2.5183e-14 cond=3.971e+13; near-null (<1e-6/1e-8/1e-10*smax): 1082/541/12 of 2460; top gaps: gap@2458->2459=1.09e+02; gap@107->108=5.12e+01; gap@2457->2458=3.40e+00,spectrum_s2.csv,RECORDED
Q1,s3,smax=1.0000e+00 smin=2.4488e-11 cond=4.084e+10; near-null (<1e-6/1e-8/1e-10*smax): 501/121/1 of 1236; top gaps: gap@51->52=3.13e+01; gap@1234->1235=6.89e+00; gap@1233->1234=1.74e+00,spectrum_s3.csv,RECORDED
Q2,s1,var fractions: delta=0.000 A=0.427 B=0.014 Psi=0.558 Ct1=0.000 Ct2=0.000; top-10-node mass=0.489; region mass: le_inflow=0.000 le_band=0.000 mid=0.860 te_band=0.139; top nodes: node59(x/c=0.144,lo,turbulent); node43(x/c=0.163,up,turbulent); node161(x/c=0.144,lo,turbulent); node62(x/c=0.203,lo,turbulent); node145(x/c=0.163,up,turbulent),nullspace_anatomy_s1.csv,RECORDED
Q2,s2,var fractions: delta=0.000 A=0.358 B=0.006 Psi=0.635 Ct1=0.000 Ct2=0.000; top-10-node mass=0.437; region mass: le_inflow=0.000 le_band=0.000 mid=0.823 te_band=0.177; top nodes: node296(x/c=0.094,up,turbulent); node208(x/c=0.970,up,turbulent); node285(x/c=0.203,up,turbulent); node295(x/c=0.104,up,turbulent); node122(x/c=0.183,lo,turbulent),nullspace_anatomy_s2.csv,RECORDED
Q3,s1,cond raw=1.317e+11 -> equilibrated=7.425e+05; row-norm range=7.70e+04 col-norm range=2.99e+06; near-null (<1e-6*smax) raw=500 -> scaled=0,scaling.csv,RECORDED
Q3,s2,cond raw=3.971e+13 -> equilibrated=1.138e+07; row-norm range=3.28e+05 col-norm range=7.58e+05; near-null (<1e-6*smax) raw=1082 -> scaled=2,scaling.csv,RECORDED
Q3,s3,cond raw=4.084e+10 -> equilibrated=2.101e+04; row-norm range=8.35e+04 col-norm range=1.35e+06; near-null (<1e-6*smax) raw=501 -> scaled=0,scaling.csv,RECORDED
Q4,s1,DELTA_MIN-active=0 RE_D_MIN-active=0 of 206 nodes (min delta=1.617e-06 min re_d=2.432e+00); active set EMPTY -> floor-active exact-null-direction hypothesis not operative at this state; the DELTA_MIN sensitivity is identically zero here (Q6(b) substitute),closure_floor_active_s1.csv,RECORDED
Q4,s2,DELTA_MIN-active=0 RE_D_MIN-active=0 of 410 nodes (min delta=1.782e-06 min re_d=2.307e+00); active set EMPTY -> floor-active exact-null-direction hypothesis not operative at this state; the DELTA_MIN sensitivity is identically zero here (Q6(b) substitute),closure_floor_active_s2.csv,RECORDED
Q5,s1,|F_BL|inf=3.1538e-06; eq energy shares: delta=0.484 A=0.200 B=0.830 Psi=0.193 Ct1=0.008 Ct2=0.000; top nodes: node2(x/c=0.980,up,turbulent,|F|=3.15e-06); node105(x/c=0.960,up,turbulent,|F|=2.95e-06); node3(x/c=0.960,up,turbulent,|F|=2.81e-06); node104(x/c=0.980,up,turbulent,|F|=2.81e-06); node58(x/c=0.124,lo,turbulent,|F|=2.49e-06); |u_i^T F|/|F| over the 20 smallest-sigma left vectors: max=7.734e-03 median=7.462e-04 (random ~ 2.84e-02),residual_anatomy_s1.csv,RECORDED
Q5,s2,|F_BL|inf=1.7100e-06; eq energy shares: delta=0.494 A=0.179 B=0.831 Psi=0.183 Ct1=0.009 Ct2=0.000; top nodes: node2(x/c=0.990,up,turbulent,|F|=1.71e-06); node207(x/c=0.980,up,turbulent,|F|=1.71e-06); node407(x/c=0.990,lo,turbulent,|F|=1.58e-06); node204(x/c=1.000,lo,turbulent,|F|=1.55e-06); node0(x/c=1.000,lo,turbulent,|F|=1.53e-06); |u_i^T F|/|F| over the 20 smallest-sigma left vectors: max=5.963e-03 median=1.203e-03 (random ~ 2.02e-02),residual_anatomy_s2.csv,RECORDED
Q6,s1,(a) eps_diff probes done (see sensitivity_probes.csv; base floor=3.154e-06 near-null(1e-6)=500); (b) DELTA_MIN DEFERRED -- numba-baked module constant with no interface exposure; Q4 active set substitutes,sensitivity_probes.csv,RECORDED
Q7,s1,converged=False n_iter=21 rejections=14 cfl_final=1.000e-03 (cfl_min=1e-03); r_inf 3.154e-06 -> 3.154e-06 (ratio 0.9999); last 10 iters: 3.154e-06 -> 3.154e-06; controller BOTTOMED OUT (cfl pinned at cfl_min; steps rejected; residual frozen at the floor); wall=10s,pseudotime_stall.csv,RECORDED
