x,re_x,re_theta,H,cf,cf_powerlaw_1_7,rel_diff,ctau
0.400000,4.000000e+04,1.955634e+02,1.78667431,6.61689483e-03,5.94191757e-03,1.135959e-01,4.09456795e-03
0.570837,5.708366e+04,2.498851e+02,1.71635936,6.14099766e-03,5.64757591e-03,8.736877e-02,3.56990558e-03
0.814636,8.146361e+04,3.219647e+02,1.65138760,5.71715973e-03,5.36781490e-03,6.508138e-02,3.11677000e-03
1.162560,1.162560e+05,4.178247e+02,1.59309501,5.33261399e-03,5.10191227e-03,4.521868e-02,2.72562636e-03
1.659080,1.659080e+05,5.455431e+02,1.54158931,4.98190861e-03,4.84918151e-03,2.737103e-02,2.39214225e-03
2.367659,2.367659e+05,7.158428e+02,1.49770396,4.65485225e-03,4.60897015e-03,9.954957e-03,2.11761004e-03
3.378865,3.378865e+05,9.431465e+02,1.45890465,4.36150855e-03,4.38065801e-03,-4.371364e-03,1.88537820e-03
4.821950,4.821950e+05,1.248128e+03,1.42178093,4.11193778e-03,4.16365564e-03,-1.242126e-02,1.66905279e-03
6.881364,6.881364e+05,1.658044e+03,1.39325268,3.85896319e-03,3.95740282e-03,-2.487480e-02,1.50307538e-03
9.820336,9.820336e+05,2.203136e+03,1.37905912,3.57435717e-03,3.76136703e-03,-4.971859e-02,1.43328580e-03
14.014518,1.401452e+06,2.922384e+03,1.36989222,3.31003457e-03,3.57504216e-03,-7.412712e-02,1.41601386e-03
20.000000,2.000000e+06,3.882214e+03,1.34993049,3.13584195e-03,3.39794717e-03,-7.713634e-02,1.34145092e-03
