side,arm,f,x_tr,n_substep,n_out_theta,n_out_H,n_out_cf,n_out_ctau,worst_theta,worst_H,worst_cf,worst_ctau,dev_H_first,dev_theta_first
side_a,fine,0.0,0.04916,4000,5,3,3,3,0.03447062578321414,0.08229395668888939,0.28829527162102186,0.37890962920816396,0.08229395668888939,0.0046239870345746725
side_a,one-per-interval,0.0,0.04916,146,5,3,3,3,0.03446479028002769,0.08233795866071669,0.28847485363941106,0.379024826020365,0.08233795866071669,0.004630793024070878
side_a,fine,0.1,0.049614000000000005,4000,2,3,3,3,0.025747525302360907,0.056856660375179,0.18014535509506113,0.26106264649389166,0.05221681011495505,0.008276619569179577
side_a,one-per-interval,0.1,0.049614000000000005,146,0,3,3,3,0.01807476842567879,0.04433913864185213,0.1010596592688866,0.15693448581594294,0.021559978873114116,0.012320901831352704
side_a,fine,0.2,0.050068,4000,0,3,3,3,0.018444841893952013,0.042702627407328886,0.09594711370625753,0.1391236896159147,0.02386851482781116,0.010966017236976766
side_a,one-per-interval,0.2,0.050068,146,0,1,3,3,0.016301798283268498,0.03872280503168102,0.08844383045392257,0.10572362404063473,0.015299266880271278,0.01184332499530949
side_a,fine,0.30000000000000004,0.050522000000000004,4000,0,1,2,2,0.013112331837527802,0.027077109465352023,0.06509811028126311,0.028078862912340963,0.004485866756187562,0.013112331837527802
side_a,one-per-interval,0.30000000000000004,0.050522000000000004,146,0,1,2,1,0.016569181203989536,0.050355505900741004,0.14007054856302292,0.17051206452485956,0.050355505900741004,0.016569181203989536
side_a,fine,0.4,0.050975999999999994,4000,0,1,3,1,0.014608087666516001,0.029644649702772474,0.08184236095082387,0.11334645439037705,0.029644649702772474,0.014608087666516001
side_a,one-per-interval,0.4,0.050975999999999994,146,0,1,2,1,0.01589913462222292,0.05290247522998359,0.14782509123670806,0.21992091855218476,0.05290247522998359,0.01589913462222292
side_a,fine,0.5,0.051430000000000003,4000,0,1,1,1,0.015882031023312537,0.05607822057897471,0.15671497628833186,0.2456947040910904,0.05607822057897471,0.015882031023312537
side_a,one-per-interval,0.5,0.051430000000000003,146,2,2,2,1,0.023819916857065193,0.11442147300480121,0.3061209664616933,0.48269298366878344,0.11442147300480121,0.018267093016650526
side_a,fine,0.6000000000000001,0.051884000000000007,4000,0,2,2,1,0.0175489912109823,0.08056278719333698,0.2221121579845462,0.37241296653707,0.08056278719333698,0.016782788676356963
side_a,one-per-interval,0.6000000000000001,0.051884000000000007,146,2,2,2,1,0.023819916857065193,0.11442147300480121,0.3061209664616933,0.48269298366878344,0.11442147300480121,0.018267093016650526
side_a,fine,0.7000000000000001,0.052337999999999996,4000,2,2,2,1,0.022585997190021856,0.10268533651844813,0.27806041092388967,0.4879081107533647,0.10268533651844813,0.01738565914770629
side_a,one-per-interval,0.7000000000000001,0.052337999999999996,146,3,2,2,2,0.024176785191437622,0.11060952458163853,0.29735235876046506,0.5187069912019477,0.11060952458163853,0.01762000645740125
side_a,fine,0.8,0.052792,4000,5,2,3,3,0.026849146436167648,0.11987143502432085,0.3195901483298226,0.5843621243703416,0.11987143502432085,0.017655555949378954
side_a,one-per-interval,0.8,0.052792,146,8,3,3,4,0.036454436971930404,0.16231260693189276,0.41488243890717746,1.0,0.16231260693189276,0.018165031342343818
side_a,fine,0.9,0.053245999999999995,4000,6,3,3,4,0.032146096546223246,0.13657557077654014,0.35836845800612516,0.6752313273998153,0.13657557077654014,0.017777513714593574
side_a,one-per-interval,0.9,0.053245999999999995,146,8,3,3,5,0.03763655843449809,0.15109925685820524,0.39086127478028543,1.0,0.15109925685820524,0.017753224637472864
side_a,fine,1.0,0.0537,4000,9,3,3,5,0.03806291569140807,0.1482492841821057,0.38461872991913826,1.0,0.1482492841821057,0.017695413346940025
side_a,one-per-interval,1.0,0.0537,146,8,3,3,5,0.03763655843449809,0.15109925685820524,0.39086127478028543,1.0,0.15109925685820524,0.017753224637472864
side_b,fine,0.0,0.04916,4000,2,2,4,3,0.02613677898846989,0.04577604453590767,0.140893292554384,0.5013780864311832,0.041272803136017,0.0014951049309833708
side_b,one-per-interval,0.0,0.04916,135,2,2,4,3,0.026133577304073397,0.045848425674536175,0.14120382635389217,0.5018142918996711,0.04135131981089224,0.0015309827672046472
side_b,fine,0.1,0.049614,4000,0,1,4,3,0.017858909857534577,0.03558920569638169,0.07871204782436947,0.3219990161550812,0.017878311102235478,0.004744134500871411
side_b,one-per-interval,0.1,0.049614,135,0,1,3,3,0.011379920050739623,0.029627823153639876,0.0716806524990048,0.22417176105786019,0.001686502369888876,0.009408343981444411
side_b,fine,0.2,0.050068,4000,0,1,3,4,0.009693014349012596,0.02395633840865885,0.058542434564766266,0.13490726654299112,0.004498617666818916,0.006944782169810093
side_b,one-per-interval,0.2,0.050068,135,0,1,3,4,0.00791519112801542,0.021527959608119485,0.05486010243929984,0.09744594615303859,0.009751716121911835,0.00791519112801542
side_b,fine,0.30000000000000004,0.050522000000000004,4000,0,1,4,4,0.009237318122232385,0.024826009065286092,0.06209299730414286,0.04873828493642263,0.024826009065286092,0.008457317247289597
side_b,one-per-interval,0.30000000000000004,0.050522000000000004,135,0,1,4,3,0.017654707392077418,0.05130553688096673,0.13403381208291465,0.23539160456400332,0.05130553688096673,0.01243421391694377
