state,arm,eta,x_percell,x_subcell
W M0.76,P0,0.2,0.13970839176678512,0.13971005292818917
W M0.76,P0,0.44,0.19642665781655244,0.19654535411690488
W M0.76,P0,0.65,0.23954803179074832,0.2411898256764433
W M0.76,P0,0.8,0.9783472120176484,0.9795693699416724
W M0.76,P0,0.9,0.2506719044554258,0.25085391398878953
W M0.76,P0,0.96,0.9856717028026137,0.9858357585807929
W M0.76,P0,0.99,0.9785004028722927,0.9785084566954448
W M0.76,P1,0.44,0.23006894584466106,0.23012184817245004
W M0.76,P1,0.65,0.20234678999021552,0.20423019162594294
W M0.76,P1,0.8,0.21445345855822417,0.2145569569182678
W M0.76,P1,0.9,0.21397731049088595,0.21423320512439384
W M0.76,P1,0.96,0.17447455675457713,0.17458660543670895
W M0.76,P1,0.99,0.9692655512600036,0.9692682656213736
W M0.76,P2,0.44,0.1957220126902602,0.19637399742097897
W M0.76,P2,0.65,0.2049208356173386,0.2049793973933561
W M0.76,P2,0.8,0.2327824732053585,0.23280380836248923
W M0.76,P2,0.9,0.22957780078478493,0.2300592905566198
W M0.76,P2,0.96,0.1722471416456167,0.17226606429269922
W M0.76,P2,0.99,0.13302799654908362,0.13311540566591276
W M0.76,P3,0.44,0.19642665781655244,0.19652180541548153
W M0.76,P3,0.65,0.2120284922507321,0.21204782377079184
W M0.76,P3,0.8,0.20065445610080168,0.20071126069375342
W M0.76,P3,0.9,0.18633056684093277,0.1864226368597563
W M0.76,P3,0.96,0.1722471416456167,0.17234269939632807
W M0.76,P3,0.99,0.13620219923635102,0.13621834841953825
W M0.76,S1,0.2,0.11172510869091917,0.11172664242131636
W M0.76,S1,0.44,0.19642665781655244,0.19646291016343884
W M0.76,S1,0.65,0.2120284922507321,0.21203941417267394
W M0.76,S1,0.8,0.1995043715365141,0.20056011573337898
W M0.76,S1,0.9,0.2506719044554258,0.2507020004977258
W M0.76,S1,0.96,0.9856717028026137,0.9857224489966137
W M0.76,S1,0.99,0.9753346931603681,0.9753766013347944
W M0.76,S2,0.44,0.1957220126902602,0.19641274113443463
W M0.76,S2,0.65,0.2049208356173386,0.20496043191573607
W M0.76,S2,0.8,0.1995043715365141,0.2005999865072682
W M0.76,S2,0.9,0.21397731049088595,0.21415340641076244
W M0.76,S2,0.96,0.17447455675457713,0.17451396316858622
W M0.76,S2,0.99,0.13317430251434,0.13326933982357833
W M0.76,S3,0.44,0.19642665781655244,0.1964552280255284
W M0.76,S3,0.65,0.20234678999021552,0.20393817406544448
W M0.76,S3,0.8,0.1995043715365141,0.20044180750789076
W M0.76,S3,0.9,0.19525172430084126,0.19528997983566027
W M0.76,S3,0.96,0.1639735940101274,0.16524816303650183
W M0.76,S3,0.99,0.13016319441593138,0.1302509058760784
W M0.78,P0,0.2,0.3972202766165634,0.3972903807175909
W M0.78,P0,0.44,0.42080969343746993,0.4208339662024099
W M0.78,P0,0.65,0.37764590801220843,0.3776523253832969
W M0.78,P0,0.8,0.9783472120176484,0.9796365615994825
W M0.78,P0,0.9,0.2589153628639305,0.2589297443515262
W M0.78,P0,0.96,0.9856717028026137,0.9858599186642973
W M0.78,P0,0.99,0.9785004028722927,0.9785128731181678
W M0.78,P1,0.2,0.3972202766165634,0.39722401683287223
W M0.78,P1,0.44,0.37901902906025664,0.37901916383515627
W M0.78,P1,0.65,0.3462534265694207,0.34627308262000894
W M0.78,P1,0.8,0.2857509785347183,0.28590280334877427
W M0.78,P1,0.9,0.27108494588532045,0.27192186047190686
W M0.78,P1,0.96,0.20228103212804013,0.20235392921030265
W M0.78,P1,0.99,0.9738007765786793,0.9738496587269772
W M0.78,P2,0.2,0.39688188025271726,0.397053619494263
W M0.78,P2,0.44,0.37901902906025664,0.37901968085316395
W M0.78,P2,0.65,0.3309865929536707,0.33099162495280493
W M0.78,P2,0.8,0.3059953267734766,0.30616959483029227
W M0.78,P2,0.9,0.27108494588532045,0.2722400752841103
W M0.78,P2,0.96,0.20228103212804013,0.20230928791719646
W M0.78,P2,0.99,0.1561843297661347,0.15626014680671008
W M0.78,P3,0.44,0.36229787403012437,0.36249286332026265
W M0.78,P3,0.65,0.3309865929536707,0.33099613519972304
W M0.78,P3,0.8,0.2857509785347183,0.2857721330531209
W M0.78,P3,0.9,0.2589153628639305,0.2589156660570613
W M0.78,P3,0.96,0.20228103212804013,0.2022903191594581
W M0.78,P3,0.99,0.1561843297661347,0.15622783967051218
W M0.78,S1,0.2,0.3972202766165634,0.39724185964317493
W M0.78,S1,0.44,0.36229787403012437,0.36375586372728064
W M0.78,S1,0.65,0.3500874510560189,0.3503143541234421
W M0.78,S1,0.8,0.2857509785347183,0.28589774104642646
W M0.78,S1,0.9,0.27108494588532045,0.27144767541425363
W M0.78,S1,0.96,0.9856717028026137,0.985758637196251
W M0.78,S1,0.99,0.9785004028722927,0.9785064645729581
W M0.78,S2,0.2,0.15438483005628267,0.15526111272969306
W M0.78,S2,0.44,0.36229787403012437,0.36231422105111555
W M0.78,S2,0.65,0.32629112206342586,0.32631772859225217
W M0.78,S2,0.8,0.2857509785347183,0.2858092708359043
W M0.78,S2,0.9,0.2506719044554258,0.251299413163616
W M0.78,S2,0.96,0.20228103212804013,0.2023228103833557
W M0.78,S2,0.99,0.1561843297661347,0.1562372805715591
W M0.78,S3,0.44,0.329806977351343,0.3298184228758443
W M0.78,S3,0.65,0.3309865929536707,0.33099532639619694
W M0.78,S3,0.8,0.2857509785347183,0.28577700398036376
W M0.78,S3,0.9,0.2506719044554258,0.25128616026443
W M0.78,S3,0.96,0.20228103212804013,0.2022933401208216
W M0.78,S3,0.99,0.1561843297661347,0.15622593648573002
W M0.80,P0,0.2,0.5570595183598465,0.557072890061106
W M0.80,P0,0.44,0.4969772627907579,0.4975304280324028
W M0.80,P0,0.65,0.45265681488503884,0.4526792232640425
W M0.80,P0,0.8,0.9783472120176484,0.9796997476115028
W M0.80,P0,0.9,0.3348532756083735,0.3355360886221203
W M0.80,P0,0.96,0.9856717028026137,0.9858832497994784
W M0.80,P0,0.99,0.9811729250069775,0.9812030659537351
W M0.80,P1,0.2,0.54076169060975,0.5408047544018976
W M0.80,P1,0.44,0.4969772627907579,0.49837907432702494
W M0.80,P1,0.65,0.4524529411303098,0.45245850025663714
W M0.80,P1,0.8,0.37766694670288886,0.37892480998929795
W M0.80,P1,0.9,0.33435548768170376,0.3344638209966702
W M0.80,P1,0.96,0.9856717028026137,0.9857046867235786
W M0.80,P1,0.99,0.9738007765786793,0.9739027916962588
W M0.80,P2,0.2,0.5400553450861556,0.5400558657381997
W M0.80,P2,0.44,0.4702052458186443,0.47030155032458076
W M0.80,P2,0.65,0.42215031411149917,0.42254562089609427
W M0.80,P2,0.8,0.37766694670288886,0.37791573173957044
W M0.80,P2,0.9,0.31291896755806053,0.312946911030979
W M0.80,P2,0.96,0.2261231384956011,0.22643094925129836
W M0.80,P2,0.99,0.9681209873524655,0.9681423679009721
W M0.80,P3,0.2,0.5400553450861556,0.5400560511444344
W M0.80,P3,0.44,0.4746372935502178,0.4750155030781564
W M0.80,P3,0.65,0.43491516932948326,0.43495432452018323
W M0.80,P3,0.8,0.364595778816783,0.36463122572466355
W M0.80,P3,0.9,0.31291896755806053,0.31292756860275395
W M0.80,P3,0.96,0.2261231384956011,0.22612511549162886
W M0.80,P3,0.99,0.18871062489106002,0.1887155736092094
W M0.80,S1,0.2,0.54076169060975,0.5408106351556636
W M0.80,S1,0.44,0.4969772627907579,0.49777295222357865
W M0.80,S1,0.65,0.4524529411303098,0.45246434548973574
W M0.80,S1,0.8,0.364595778816783,0.36484332025044924
W M0.80,S1,0.9,0.3348532756083735,0.33501226011371865
W M0.80,S1,0.96,0.9856717028026137,0.9857942166534123
W M0.80,S1,0.99,0.9785004028722927,0.9785135934251695
W M0.80,S2,0.2,0.5400553450861556,0.5400566507633165
W M0.80,S2,0.44,0.4746372935502178,0.47525450817575854
W M0.80,S2,0.65,0.43491516932948326,0.4350312454667747
W M0.80,S2,0.8,0.364595778816783,0.36467843047568943
W M0.80,S2,0.9,0.3348532756083735,0.334921405267962
W M0.80,S2,0.96,0.9856717028026137,0.9856760742211896
W M0.80,S2,0.99,0.9753346931603681,0.9753410773690293
W M0.80,S3,0.2,0.5400553450861556,0.5400556267838797
W M0.80,S3,0.44,0.4591305203233057,0.46128323287805595
W M0.80,S3,0.65,0.43491516932948326,0.43493169637006246
W M0.80,S3,0.8,0.364595778816783,0.36465849806303796
W M0.80,S3,0.9,0.3201102711796227,0.32011569576750454
W M0.80,S3,0.96,0.22587270975334017,0.22611871156614602
W M0.80,S3,0.99,0.18871062489106002,0.18871472645912066
W M0.82,P0,0.2,0.6139075607811839,0.6140498490929603
W M0.82,P0,0.44,0.543394155618494,0.5439640403385622
W M0.82,P0,0.65,0.5276238154467355,0.5280790048087537
W M0.82,P0,0.8,0.9841854235306934,0.9845018045244286
W M0.82,P0,0.9,0.4097424969481016,0.40980052979780807
W M0.82,P0,0.96,0.9856717028026137,0.9859053356320722
W M0.82,P0,0.99,0.9811729250069775,0.9812955899293732
W M0.82,P1,0.2,0.6230957912177779,0.6231579349203968
W M0.82,P1,0.44,0.5484259171423621,0.548663559429336
W M0.82,P1,0.65,0.5276238154467355,0.5283126791944314
W M0.82,P1,0.8,0.4590256635502404,0.4613842023751635
W M0.82,P1,0.9,0.3767209718996567,0.37793147610179345
W M0.82,P1,0.96,0.9856717028026137,0.9857529984828929
W M0.82,P1,0.99,0.9753346931603681,0.9753424448459114
W M0.82,P2,0.2,0.6139075607811839,0.6140272877992765
W M0.82,P2,0.44,0.5484259171423621,0.5485169438266557
W M0.82,P2,0.65,0.5276238154467355,0.5277320683273824
W M0.82,P2,0.8,0.4358361934606343,0.4362104425043882
W M0.82,P2,0.9,0.3767209718996567,0.3787549354619095
W M0.82,P2,0.96,0.30210244038427064,0.30241048894923395
W M0.82,P2,0.99,0.9692655512600036,0.9692657732272024
W M0.82,P3,0.2,0.6139075607811839,0.6139575578681259
W M0.82,P3,0.44,0.5535647814101858,0.5550850276089975
W M0.82,P3,0.65,0.5276238154467355,0.5278294247137405
W M0.82,P3,0.8,0.4513668900738966,0.45191059523221877
W M0.82,P3,0.9,0.3767209718996567,0.3787165525578733
W M0.82,P3,0.96,0.28728887620338944,0.2876884245950588
W M0.82,P3,0.99,0.9593486971780509,0.9593498424021981
W M0.82,S1,0.2,0.6139075607811839,0.6140770859725339
W M0.82,S1,0.44,0.5484259171423621,0.5484421381575082
W M0.82,S1,0.65,0.5276238154467355,0.5281646026208666
W M0.82,S1,0.8,0.4522433351880101,0.45230614031806626
W M0.82,S1,0.9,0.4097424969481016,0.40975001181193554
W M0.82,S1,0.96,0.9856717028026137,0.9858281865349481
W M0.82,S1,0.99,0.9785004028722927,0.9785206243721484
W M0.82,S2,0.2,0.6230957912177779,0.6230961750746558
W M0.82,S2,0.44,0.5484259171423621,0.5484691763111017
W M0.82,S2,0.65,0.5276238154467355,0.5279816961296809
W M0.82,S2,0.8,0.4513668900738966,0.45170614877955984
W M0.82,S2,0.9,0.3710479020256783,0.3731972036324832
W M0.82,S2,0.96,0.9856717028026137,0.9857318808101035
W M0.82,S2,0.99,0.9753346931603681,0.9753707919784212
W M0.82,S3,0.2,0.6139075607811839,0.6139872901887087
W M0.82,S3,0.44,0.543394155618494,0.5437075934349419
W M0.82,S3,0.65,0.515447331206354,0.5166809090777281
W M0.82,S3,0.8,0.4513668900738966,0.4513996030111756
W M0.82,S3,0.9,0.3767209718996567,0.377216122706985
W M0.82,S3,0.96,0.30210244038427064,0.30221423721429347
W M0.82,S3,0.99,0.2565798647418726,0.2567169475918516
W M0.8395,P0,0.2,0.6705342486594731,0.6711137976661542
W M0.8395,P0,0.44,0.6123522059682991,0.6123872222125323
W M0.8395,P0,0.65,0.5759128677684422,0.5764645244499552
W M0.8395,P0,0.8,0.9841854235306934,0.9849158028098242
W M0.8395,P0,0.9,0.44511257595808695,0.4452864938162466
W M0.8395,P0,0.96,0.9856717028026137,0.9859271522370975
W M0.8395,P0,0.99,0.9811729250069775,0.9813790071413534
W M0.8395,P1,0.2,0.6705342486594731,0.6714277866764231
W M0.8395,P1,0.44,0.6123522059682991,0.6124392799938762
W M0.8395,P1,0.65,0.5759128677684422,0.5765543851092483
W M0.8395,P1,0.8,0.503287755180331,0.5061303194146354
W M0.8395,P1,0.9,0.46653672255814094,0.4665402137144387
W M0.8395,P1,0.96,0.9920031353257368,0.992009944023372
W M0.8395,P1,0.99,0.9785004028722927,0.978509276720656
W M0.8395,P2,0.2,0.6705342486594731,0.6711756306647629
W M0.8395,P2,0.44,0.6209465921842113,0.6211628003329371
W M0.8395,P2,0.65,0.5759128677684422,0.5759418428692507
W M0.8395,P2,0.8,0.5071503772526418,0.5073703703761093
W M0.8395,P2,0.9,0.46653672255814094,0.4665491311447442
W M0.8395,P2,0.96,0.37667784831533363,0.37675272025793455
W M0.8395,P2,0.99,0.9753346931603681,0.9753631307262465
W M0.8395,P3,0.2,0.6705342486594731,0.6711739522296437
W M0.8395,P3,0.44,0.6044771621004362,0.6046225915474817
W M0.8395,P3,0.65,0.5643319084461466,0.5643392129715256
W M0.8395,P3,0.8,0.5245456547884314,0.5245539378868685
W M0.8395,P3,0.9,0.447188836513951,0.4472139313353291
W M0.8395,P3,0.96,0.37667784831533363,0.376688975044289
