state,arm,eta,half,d
W M0.76,P0,0.2,0.01,0.03225617316567794
W M0.76,P0,0.44,0.01,0.0186272995440033
W M0.76,P0,0.65,0.01,0.007401411691108417
W M0.76,P0,0.8,0.01,0.7844178302536315
W M0.76,P0,0.9,0.01,0.02350215738898459
W M0.76,P0,0.96,0.01,0.8143715354088268
W M0.76,P0,0.99,0.01,0.8968012592218472
W M0.76,P0,0.2,0.02,0.04305681800360808
W M0.76,P0,0.44,0.02,0.0186272995440033
W M0.76,P0,0.65,0.02,0.018747636583612087
W M0.76,P0,0.8,0.02,0.7799733191618304
W M0.76,P0,0.9,0.02,0.06554222374927024
W M0.76,P0,0.96,0.02,0.8367337633725072
W M0.76,P0,0.99,0.02,0.8955326631765421
W M0.76,P0,0.2,0.04,0.061327716729494
W M0.76,P0,0.44,0.04,0.047514191822641855
W M0.76,P0,0.65,0.04,0.049687513039430975
W M0.76,P0,0.8,0.04,0.7691458341314925
W M0.76,P0,0.9,0.04,0.07861714955817237
W M0.76,P0,0.96,0.04,0.832532535750985
W M0.76,P0,0.99,0.04,0.8962919523079301
W M0.76,P1,0.44,0.01,0.03551361626741245
W M0.76,P1,0.65,0.01,-0.023348878575081583
W M0.76,P1,0.8,0.01,0.013956443920499662
W M0.76,P1,0.9,0.01,0.001966183809879979
W M0.76,P1,0.96,0.01,0.014949097988848192
W M0.76,P1,0.99,0.01,0.8873974948412137
W M0.76,P1,0.44,0.02,0.05226958757211192
W M0.76,P1,0.65,0.02,-0.018453605216920715
W M0.76,P1,0.8,0.02,0.016079565702406234
W M0.76,P1,0.9,0.02,0.028847629784730378
W M0.76,P1,0.96,0.02,0.025536617324470573
W M0.76,P1,0.99,0.02,0.886297811564253
W M0.76,P1,0.44,0.04,0.06410240648020932
W M0.76,P1,0.65,0.04,0.041445895451207526
W M0.76,P1,0.8,0.04,0.04986363177713865
W M0.76,P1,0.9,0.04,0.07861714955817237
W M0.76,P1,0.96,0.04,0.8239196507646022
W M0.76,P1,0.99,0.04,0.8873832427353054
W M0.76,P2,0.44,0.01,0.003026208614201248
W M0.76,P2,0.65,0.01,-0.020759035785955005
W M0.76,P2,0.8,0.01,0.032443043622615825
W M0.76,P2,0.9,0.01,0.02350215738898459
W M0.76,P2,0.96,0.01,0.014949097988848192
W M0.76,P2,0.99,0.01,0.03586449129255953
W M0.76,P2,0.44,0.02,0.01792265441771107
W M0.76,P2,0.65,0.02,-0.015879559589797643
W M0.76,P2,0.8,0.02,0.03440858034954056
W M0.76,P2,0.9,0.02,0.04444812007862936
W M0.76,P2,0.96,0.02,0.02330920221551014
W M0.76,P2,0.99,0.02,0.05006025685333311
W M0.76,P2,0.44,0.04,0.04353528005213089
W M0.76,P2,0.65,0.04,0.041445895451207526
W M0.76,P2,0.8,0.04,0.06779630027800845
W M0.76,P2,0.9,0.04,0.059609030504983895
W M0.76,P2,0.96,0.04,0.044002638299055485
W M0.76,P2,0.99,0.04,0.08067861753831747
W M0.76,P3,0.44,0.01,0.0186272995440033
W M0.76,P3,0.65,0.01,-0.023348878575081583
W M0.76,P3,0.8,0.01,-0.0011211689792020307
W M0.76,P3,0.9,0.01,-0.036414810239683654
W M0.76,P3,0.96,0.01,0.014949097988848192
W M0.76,P3,0.99,0.01,0.03909675266725397
W M0.76,P3,0.44,0.02,0.0186272995440033
W M0.76,P3,0.65,0.02,-0.008771902956404148
W M0.76,P3,0.8,0.02,0.002280563244983741
W M0.76,P3,0.9,0.02,0.0012008861347772015
W M0.76,P3,0.96,0.02,0.02330920221551014
W M0.76,P3,0.99,0.02,0.05323445954060051
W M0.76,P3,0.44,0.04,0.031395593578794734
W M0.76,P3,0.65,0.04,0.041445895451207526
W M0.76,P3,0.8,0.04,0.06349071728560415
W M0.76,P3,0.9,0.04,0.02035932552624181
W M0.76,P3,0.96,0.04,0.046963058651941364
W M0.76,P3,0.99,0.04,0.08374071870168427
W M0.76,S1,0.2,0.01,-0.015369883559954403
W M0.76,S1,0.44,0.01,0.0186272995440033
W M0.76,S1,0.65,0.01,-0.020759035785955005
W M0.76,S1,0.8,0.01,-0.0011211689792020307
W M0.76,S1,0.9,0.01,0.02350215738898459
W M0.76,S1,0.96,0.01,0.014949097988848192
W M0.76,S1,0.99,0.01,0.893577646165758
W M0.76,S1,0.2,0.02,0.015073534927742133
W M0.76,S1,0.44,0.02,0.0186272995440033
W M0.76,S1,0.65,0.02,-0.008771902956404148
