leg,level,m_inf,alpha,upwind_c,conv,n_limited,n_floored,upM,te_maxM,te_sup,gamma,cap_ratio
R16 medium  C1.0 a0.0,medium,0.8,0.0,1.0,1,0,0,1.2393,0.8302,0,-0.003703,0.3655
R16 medium  C1.0 a0.5,medium,0.8,0.5,1.0,0,0,0,1.2518,0.8292,0,0.022201,0.3712
R12 xcoarse C1.5 a1.25,xcoarse,0.8,1.25,1.5,1,0,0,1.2956,0.8711,0,0.152756,0.391
R17 medium  C1.0 a0 M.82,medium,0.82,0.0,1.0,0,0,0,1.2962,0.865,0,-0.026619,0.3913
R15 medium  C3.0 a1.25 s5,medium,0.8,1.25,3.0,1,0,0,1.332,0.8517,0,0.147788,0.4074
R12 medium  C1.5 a1.25,medium,0.8,1.25,1.5,1,0,0,1.3745,0.8607,0,0.173819,0.4266
R12 coarse  C1.5 a1.25,coarse,0.8,1.25,1.5,1,0,0,1.3937,0.8448,0,0.208073,0.4352
R15 medium  C3.0 a1.25 s0,medium,0.8,1.25,3.0,0,0,0,1.3949,0.9583,0,0.26366,0.4357
R17 medium  C1.0 a0 M.84,medium,0.84,0.0,1.0,0,0,0,1.9812,1.5262,2146,0.35225,0.6841
R14 medium  C1.0 a1.25 s0,medium,0.8,1.25,1.0,0,1135,0,2.6665,29.4872,787,0.79841,170747.716
R17 medium  C1.0 a0 M.86,medium,0.86,0.0,1.0,0,3471,39,39.9708,48.3555,684,0.353919,25285.4903
R15 medium  C1.0 a1.25 s5,medium,0.8,1.25,1.0,0,2587,391,40.4711,96.3045,760,0.634187,25513.8704
