conv,gamma_out,gamma_target,m_inf,n_floored,n_limited,status,steps_capped,te_maxM,te_sup,upM,wall_s
1,0.0,0.0,0.8,0,0,OK,0,0.8474,0,1.2866,1.0
1,0.0,0.0,0.84,0,0,OK,0,0.906,0,1.371,8.5
1,0.0,0.0,0.86,0,0,OK,1,1.3491,325,1.4017,10.3
1,0.1,0.1,0.8,0,0,OK,0,0.8248,0,1.347,0.8
1,0.1,0.1,0.84,0,0,OK,3,1.1037,10,1.4404,12.1
1,0.1,0.1,0.86,0,0,OK,1,1.2663,69,1.4305,1.6
1,0.2,0.2,0.8,0,0,OK,1,0.8786,0,1.385,1.7
0,0.2,0.2,0.84,2,1560,OK,20,20.262,262,19.977,11.1
0,0.2,0.2,0.86,14,1962,OK,26,23.6873,499,54.0535,28.0
0,0.3,0.3,0.8,2320,1231,OK,7,20.9887,361,19.6316,7.8
0,0.3,0.3,0.84,5,135,OK,77,29.3056,448,8.1055,19.7
0,0.3,0.3,0.86,691,1772,OK,21,11.9152,182,38.6417,15.4
1,0.4,0.4,0.8,0,0,OK,0,0.9965,0,1.4797,1.2
0,0.4,0.4,0.84,290,513,OK,77,33.4584,409,28.4091,27.2
0,0.4,0.4,0.86,0,0,OK,76,1.7315,414,1.598,8.9
